instruction,input,output,metadata
Maximum tachycardia is seen with,,Nifedipine,"{'task': 'Open Question', 'split': 'test'}"
A patient with history of chest trauma presents to the emergency depament with a BP of 90/70 mm Hg and a Pulse rate of 120/min. The patient is observed to be sho of breath using his accessary muscle of respiration. The JVP is not elevated. The most likely diagnosis is:,,Massive Hemothorax,"{'task': 'Open Question', 'split': 'test'}"
ATP is generated in ETC by,,"FOF1 ATPase. ATP SYNTHASE (COMPLEX V) It is a protein assembly in the inner mitochondrial membrane. It is sometimes referred to as the 5th Complex (Figs 19.14 and 19.15). Proton pumping ATP synthase (otherwise called F1-Fo ATPase) is a multisubunit transmembrane protein. It has two functional units, named as F1 and Fo. It looks like a lollipop since the membrane-embedded Fo component and F1 are connected by a protein stalk. Fo Unit: The ""o"" is pronounced as ""oh""; and not as ""zero"". The ""o"" stands for oligomycin, as Fo is inhibited by oligomycin. Fo unit spans inner mitochondrial membrane. It serves as a proton channel, through which protons enter into mitochondria (Fig.19.14). Fo unit has 4 polypeptide chains and is connected to F1. Fo is water-insoluble whereas F1 is a water-soluble peripheral membrane protein. F1 Unit: It projects into the matrix. It catalyses the ATP synthesis (Fig. 19.14). F1 unit has 9 polypeptide chains, (3 alpha, 3 beta, 1 gamma, 1 sigma, 1 epsilon). The alpha chains have binding sites for ATP and ADP and beta chains have catalytic sites. ATP synthesis requires Mg++ ions. Mechanism of ATP synthesis: Translocation of protons carried out by the Fo catalyses the formation of the phospho-anhydride bond of ATP by F1. Coupling of the dissipation of proton gradient with ATP synthesis (oxidative phosphorylation) is through the interaction of F1 and Fo.Ref: DM Vasudevan Textbook of Medical Biochemistry, 6th edition, page no: 232","{'task': 'Open Question', 'split': 'test'}"
Tiotropium is contra-indicated in:,,Urinary retention.. Antimuscarinic drugs are contraindicated in glaucoma and BHP(urinary retention),"{'task': 'Open Question', 'split': 'test'}"
HBAIC level in blood explains:,,Long terms status of blood sugar,"{'task': 'Open Question', 'split': 'test'}"
G-coupled protein receptor is:,,"Metabotropic receptor. Metabotropic receptors- most common type of receptoors Involved in various metabolisms These receptors do not have ion channels as pa of their structure; instead, they affect channels by the activation of intermediate molecules called G-protein.For this reason, metabotropic receptors are also called G-protein-coupled receptors. They have a determinant - alpha subunit Adrenergic receptors are GPCRs Ref"" KD Tripathi 8th ed","{'task': 'Open Question', 'split': 'test'}"
Tetracycline with highest anti leprotic propey,,Minocycline. Minocyline is a tetracycline group given in cases where clozamine is not tolerated minocycline is given in such cases 100mg per day in such cases. Ref: KDT 6/E P753,"{'task': 'Open Question', 'split': 'test'}"
Symptoms of VIPOMA,,"Secretory diarrhoea. A vipoma is a non-beta pancreatic islet cell tumor secreting vasoactive intestinal peptide (VIP), resulting in a syndrome of watery diarrhea, hypokalemia, and achlorhydria (WDHA syndrome).The major clinical features are prolonged watery diarrhea (fasting stool volume > 750 to 1000 mL/day) Ref Davidson edition23rd pg678b","{'task': 'Open Question', 'split': 'test'}"
Specific side effect of thalidomide is,,Phacomelia,"{'task': 'Open Question', 'split': 'test'}"
Adult loading dose of aminophylline Is:,,5mg/kg bd wt. Loading dose- It given as iv 250mg/10ml- or 3-5mg / kg aminophylline IV (max 500mg) maintanence dose- 500 micrograms / kg / hour ( Elderly: 300 micrograms / kg / hour) Add 500mg to 500mL or 250mg to 250mL of a compatible infusion fluid (1mg/mL). Administer using a rate controlled infusion pump. ESSENTIAL OF MEDICAL PHARMACOLOGY SEVENTH EDITION KD TRIPATHI PG NO.227,"{'task': 'Open Question', 'split': 'test'}"
