smiles,gt,prompt
C#CC1NC1(C)C1CC1,121.18299999999999,What is the exact molar mass of C#CC1NC1(C)C1CC1?
C[C@H](C(=O)O)N1CCCC1,143.18599999999998,What is the exact molar mass of C[C@H](C(=O)O)N1CCCC1?
CCCN(CCC)c1cnc(C(=O)Nc2ccc(F)cc2F)cn1,334.37,Report the molecular weight of the structure CCCN(CCC)c1cnc(C(=O)Nc2ccc(F)cc2F)cn1.
CCCCC(=O)N[C@@H](CC(=O)OC)c1ccc(C)cc1,277.364,Determine the molecular weight corresponding to CCCCC(=O)N[C@@H](CC(=O)OC)c1ccc(C)cc1.
O=C(O)C1C2CN(Cc3ccccc3Br)CC21,296.1640000000001,Compute the molecular weight of O=C(O)C1C2CN(Cc3ccccc3Br)CC21 in Daltons.
CCOc1ccc(S(=O)(=O)N2CCN(CC(=O)Nc3ccc(OC(F)(F)F)cc3)CC2)cc1,487.5000000000001,Provide the molar mass of the compound encoded as CCOc1ccc(S(=O)(=O)N2CCN(CC(=O)Nc3ccc(OC(F)(F)F)cc3)CC2)cc1.
COc1cc(C(=O)N2C[C@]3(CN)CCC23)cc2nc(-c3cc4cc(C#N)ccc4n3CC3CC3)n(C)c12,494.59900000000033,How heavy is the molecule COc1cc(C(=O)N2C[C@]3(CN)CCC23)cc2nc(-c3cc4cc(C#N)ccc4n3CC3CC3)n(C)c12 in Daltons?
COc1ccc(C(=O)c2c(C)n(CCN3CCOCC3)c3ccccc23)c2ccccc12,428.53200000000015,Determine the molecular weight corresponding to COc1ccc(C(=O)c2c(C)n(CCN3CCOCC3)c3ccccc23)c2ccccc12.
Cc1ccc(N(CC(=O)NC2CCCCCCC2)S(C)(=O)=O)cc1Cl,386.94500000000005,Find the molecular weight of the molecule with SMILES Cc1ccc(N(CC(=O)NC2CCCCCCC2)S(C)(=O)=O)cc1Cl.
CC1(C)CC(=O)C2=C(C1)OC(=N)C(C#N)C2c1cn(-c2ccccc2)nc1-c1ccc(F)cc1,454.50500000000017,Report the molecular weight of the structure CC1(C)CC(=O)C2=C(C1)OC(=N)C(C#N)C2c1cn(-c2ccccc2)nc1-c1ccc(F)cc1.
CCCCCCC[C@@H]1C(=O)C[C@@H](c2ccccc2)N[C@H]1c1ccccc1,349.51800000000003,What is the exact molar mass of CCCCCCC[C@@H]1C(=O)C[C@@H](c2ccccc2)N[C@H]1c1ccccc1?
O=C(c1c[nH]c2ccccc12)C(Sc1ccc(Br)cc1)c1ccccc1,422.34700000000004,Determine the molecular weight corresponding to O=C(c1c[nH]c2ccccc12)C(Sc1ccc(Br)cc1)c1ccccc1.
Cc1ccc(CN(Cc2ccc3c(c2)OCO3)C(=O)CN(C(=O)C23CC4CC(CC(C4)C2)C3)C(C)C)o1,506.6430000000005,Compute the molecular weight of Cc1ccc(CN(Cc2ccc3c(c2)OCO3)C(=O)CN(C(=O)C23CC4CC(CC(C4)C2)C3)C(C)C)o1 in Daltons.
Cc1cc(CC(=O)O)c(C)cc1CC(=O)O,222.23999999999998,Provide the molar mass of the compound encoded as Cc1cc(CC(=O)O)c(C)cc1CC(=O)O.
CCCN1C(=O)COc2cc(-c3noc(C(=O)NC[C@@H](C)c4ccccc4)n3)ccc21,420.4690000000001,Report the molecular weight of the structure CCCN1C(=O)COc2cc(-c3noc(C(=O)NC[C@@H](C)c4ccccc4)n3)ccc21.
C[C@H](Cc1ccsc1)NC(=O)N1CCS(=O)(=O)[C@H](C)[C@H]1C,330.475,Compute the molecular weight of C[C@H](Cc1ccsc1)NC(=O)N1CCS(=O)(=O)[C@H](C)[C@H]1C in Daltons.
COc1cc(/C=C2\SC(=N)NC2=O)cc(OC)c1,264.306,Calculate exactly the molecular weight for the compound COc1cc(/C=C2\SC(=N)NC2=O)cc(OC)c1.
CCCc1cc(C(=O)NC2CCCCC2C)cc(Cl)n1,294.82599999999996,Find the molecular weight of the molecule with SMILES CCCc1cc(C(=O)NC2CCCCC2C)cc(Cl)n1.
