prompt,gt,smiles
Provide the aqueous solubility for the structure c1ccccc1(OC(=O)NC).,-1.803,c1ccccc1(OC(=O)NC)
"Given the SMILES CCCCCCCC#C, compute its solubility value.",-4.24,CCCCCCCC#C
Estimate the ESOL property of CCN(CC)c1nc(Cl)nc(NC(C)C)n1.,-3.785,CCN(CC)c1nc(Cl)nc(NC(C)C)n1
"For the molecule COc2ccc(Oc1ccc(NC(=O)N(C)C)cc1)cc2, return its solubility estimate.",-4.16,COc2ccc(Oc1ccc(NC(=O)N(C)C)cc1)cc2
Predict the aqueous solubility (ESOL) value for the molecule with SMILES: CCCCI,-2.96,CCCCI
"Given the SMILES CCN(CC)C(=O)CSc1ccc(Cl)nn1, compute its solubility value.",-1.716,CCN(CC)C(=O)CSc1ccc(Cl)nn1
Estimate the ESOL property of Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)cc2Cl .,-8.56,Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)cc2Cl 
What is the predicted ESOL value for CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl?,-3.4930000000000003,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl
Estimate the ESOL property of CCCN(=O)=O.,-0.8,CCCN(=O)=O
Estimate the ESOL property of CCCCCCO.,-1.24,CCCCCCO
What is the solubility of Cc1ncnc2nccnc12 in water?,-0.466,Cc1ncnc2nccnc12
"From the SMILES CCCCCBr, predict the ESOL property.",-3.08,CCCCCBr
What is the solubility of Cc1cccc2c(C)cccc12 in water?,-4.678999999999999,Cc1cccc2c(C)cccc12
"Given the SMILES CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3, compute its solubility value.",-8.6,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3
Predict the aqueous solubility (ESOL) value for the molecule with SMILES: CCCC(C)O,-0.29,CCCC(C)O
"For the molecule CC1CCCO1, return its solubility estimate.",0.11,CC1CCCO1
"Given the SMILES CC(C)OC(=O)C, compute its solubility value.",-0.55,CC(C)OC(=O)C
Provide the aqueous solubility for the structure C1CCCCCCC1.,-4.15,C1CCCCCCC1
"For the molecule CCCCN(CC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O, return its solubility estimate.",-5.53,CCCCN(CC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O
How soluble is Cc1ccc2cc3ccccc3cc2c1 in water?,-6.96,Cc1ccc2cc3ccccc3cc2c1
