rep_1,rep_2,name_equivalence_q,name_equivalence_a,chemical_similarity_q,chemical_similarity_a,property_comparison_q,property_comparison_a
smiles,smiles,Do Nc1cc(O)coc1=O and o1c(c(cc(c1)O)N)=O correspond to the same molecular structure?,1,Which compound more closely resembles Nc1cc(O)coc1=O: CN1C(=O)CC[C@H](C(=O)NCc2cccs2)[C@H]1c1cccs1 or CC(NC1CC(O)C1(C)C)c1ccc(O)cc1F?,B,Identify whether CN1C(=O)CC[C@H](C(=O)NCc2cccs2)[C@H]1c1cccs1 or CC(NC1CC(O)C1(C)C)c1ccc(O)cc1F has the higher molecular weight.,A
iupac,smiles,"Verify whether cyclohexyl (4S)-4-(2,3-dichlorophenyl)-6-methyl-2-oxo-3,4-dihydro-1H-pyridine-5-carboxylate and CC1(c2ccc(Nc3nc(N4CCOCC4)nc(N4CCOCC4)n3)cc2)NC(=O)c2ccccc2N1 correspond to an identical molecule.",0,Identify which molecule is more similar to CC1=C(C(=O)OC2CCCCC2)[C@@H](c2cccc(Cl)c2Cl)CC(=O)N1: C1=CC2N3C1C3C21CO1 or CC(C)CC(NCC1CCCN1C(=O)OCc1ccccc1)C(=O)NCC(N)=O.,B,"Which molecule has a lower molecular weight, C1=CC2N3C1C3C21CO1 or CC(C)CC(NCC1CCCN1C(=O)OCc1ccccc1)C(=O)NCC(N)=O?",A
smiles,smiles,Do the two chemical representations C/C(=N\O)c1cc(Cl)c2cccc3c2c1CC3 and O=C(NCC1CCCN(c2nccs2)C1)C1CC1 describe the same molecule?,0,"Which molecule shares greater structural similarity with C/C(=N\O)c1cc(Cl)c2cccc3c2c1CC3, O=CC1C=C2CCC2O1 or CCC1=CCNCC1=O?",B,Assess the molecular weight of O=CC1C=C2CCC2O1 and CCC1=CCNCC1=O. Which one is higher?,B
smiles,smiles,Verify whether CNC(=O)CCCC#N and C(CC(NC)=O)CC#N correspond to an identical molecule.,1,"Given CNC(=O)CCCC#N, select the molecule that is more chemically similar: CNCc1cccc(CC(=O)Nc2nnc(CCCCc3nnc(NC(=O)Cc4ccccc4)s3)s2)c1 or CC1CC(C(C)O)C1.",A,"For the property molecular weight, which molecule is lower: CNCc1cccc(CC(=O)Nc2nnc(CCCCc3nnc(NC(=O)Cc4ccccc4)s3)s2)c1 or CC1CC(C(C)O)C1?",B
iupac,smiles,"Assess whether 2-hydroxy-4-[(4-methoxybenzoyl)amino]-N-[4-(1,3-thiazol-2-ylsulfamoyl)phenyl]benzamide and Oc1c(C(=O)Nc2ccc(cc2)S(=O)(Nc2nccs2)=O)ccc(c1)NC(c1ccc(OC)cc1)=O denote the same chemical substance.",1,"Between the two options, COc1nonc1OC and CCS(=O)(=O)C1=NN2C(=N)/C(=C\c3ccc(-c4ccccc4Cl)o3)C(=O)N=C2S1, which better matches COc1ccc(C(=O)Nc2ccc(C(=O)Nc3ccc(S(=O)(=O)Nc4nccs4)cc3)c(O)c2)cc1 chemically?",B,Determine whether COc1nonc1OC or CCS(=O)(=O)C1=NN2C(=N)/C(=C\c3ccc(-c4ccccc4Cl)o3)C(=O)N=C2S1 has the higher value of molecular weight.,B
iupac,iupac,Is the molecule described by 2-(1-aminocyclopentyl)-5-(4-fluorophenyl)-4-hydroxy-1H-pyrimidin-6-one identical to the one described by 2-(1-aminocyclopentyl)-5-(4-fluorophenyl)-4-hydroxy-1H-pyrimidin-6-one?,0,"Between O=C(CSc1nnc(Cc2cccs2)n1-c1ccccc1)N1CCN(Cc2cccs2)CC1 and CCCc1sc(Nc2ccc(C(=O)OC)cc2)nc1-c1ccccc1, which is more similar in structure to NC1(c2nc(O)c(-c3ccc(F)cc3)c(=O)[nH]2)CCCC1?",B,Assess the molecular weight of O=C(CSc1nnc(Cc2cccs2)n1-c1ccccc1)N1CCN(Cc2cccs2)CC1 and CCCc1sc(Nc2ccc(C(=O)OC)cc2)nc1-c1ccccc1. Which one is lower?,B
iupac,iupac,"Do these two representations, (3R)-1-(2,4-difluorophenyl)sulfonyl-3-(4-methyl-1H-pyrazol-5-yl)piperidine and (3R)-1-(2,4-difluorophenyl)sulfonyl-3-(4-methyl-1H-pyrazol-5-yl)piperidine, describe the same molecule?",1,Which compound more closely resembles Cc1cn[nH]c1[C@@H]1CCCN(S(=O)(=O)c2ccc(F)cc2F)C1: CCCCCCP(CCCCCC)c1cc2ccccc2[cH-]1.CCCCCCP(CCCCCC)c1cc2ccccc2[cH-]1.[Cl-].[Cl-].[Ti+2].[Ti+2].c1ccc(P(c2ccccc2)c2cc3ccccc3[cH-]2)cc1.c1ccc(P(c2ccccc2)c2cc3ccccc3[cH-]2)cc1 or CC(NCCCN(C)C(C)C)c1nccn1C?,B,Determine whether CCCCCCP(CCCCCC)c1cc2ccccc2[cH-]1.CCCCCCP(CCCCCC)c1cc2ccccc2[cH-]1.[Cl-].[Cl-].[Ti+2].[Ti+2].c1ccc(P(c2ccccc2)c2cc3ccccc3[cH-]2)cc1.c1ccc(P(c2ccccc2)c2cc3ccccc3[cH-]2)cc1 or CC(NCCCN(C)C(C)C)c1nccn1C has the higher value of molecular weight.,A
smiles,smiles,Are CC1CN1CC1(C)CN1 and C1C(N1CC1(NC1)C)C equivalent representations of the same molecule?,1,"Between O=C(O)c1cn(C2CC2)c2cc(N3CCN(C(=O)CN4CCN(C(c5ccccc5)c5ccccc5)CC4)CC3)c(F)cc2c1=O and CCCC1(C)OC1C=O, which is more similar in structure to CC1CN1CC1(C)CN1?",B,Assess the molecular weight of O=C(O)c1cn(C2CC2)c2cc(N3CCN(C(=O)CN4CCN(C(c5ccccc5)c5ccccc5)CC4)CC3)c(F)cc2c1=O and CCCC1(C)OC1C=O. Which one is lower?,B
smiles,smiles,Is the molecule described by [NH3+]Cc1[nH]ncc1[O-] identical to the one described by Cc1cc(CN2CCN(CCS(C)(=O)=O)CC2)no1?,0,"Between Cc1c[nH]c2occc12 and CCCCCCOc1ccc(NCc2ccccc2)cc1, which is more similar in structure to [NH3+]Cc1[nH]ncc1[O-]?",A,"For the property molecular weight, which molecule is lower: Cc1c[nH]c2occc12 or CCCCCCOc1ccc(NCc2ccccc2)cc1?",A
iupac,smiles,Determine whether 1-[(1S)-1-(2-methylphenyl)ethyl]-3-[(1-phenylcyclopropyl)methyl]urea and c1(C2(CC2)CNC(N[C@H](c2ccccc2C)C)=O)ccccc1 refer to the same chemical compound.,1,"Given Cc1ccccc1[C@H](C)NC(=O)NCC1(c2ccccc2)CC1, select the molecule that is more chemically similar: CCS(=O)(=O)N1CC[C@]2(CCCN(Cc3cccc(OC)c3OC)C2)C1 or C=C(C)C1CC=C(C)C(=NNC(=O)COc2ccccc2Cl)C1.",B,Compare CCS(=O)(=O)N1CC[C@]2(CCCN(Cc3cccc(OC)c3OC)C2)C1 and C=C(C)C1CC=C(C)C(=NNC(=O)COc2ccccc2Cl)C1 in terms of molecular weight. Which is higher?,A
