smiles,iupac
C[S@](=O)Cc1cccc(C(=O)OCc2cc(=O)n3ccccc3n2)c1,"(4-oxopyrido[1,2-a]pyrimidin-2-yl)methyl 3-[[(S)-methylsulfinyl]methyl]benzoate"
C[C@H](NC(=O)c1cc2c(-c3ccc(Cl)cc3)nn(C)c2s1)c1ccccc1,"3-(4-chlorophenyl)-1-methyl-N-[(1S)-1-phenylethyl]thieno[3,2-d]pyrazole-5-carboxamide"
Cc1noc(=O)n1C,"3,4-dimethyl-1,2,4-oxadiazol-5-one"
Cc1cc2c(N)cccc2c(S(=O)(=O)CNCCCC(=O)N(C)CCc2ccc(C3=NCCN3)cc2)c1C,"4-[(5-amino-2,3-dimethylnaphthalen-1-yl)sulfonylmethylamino]-N-[2-[4-(4,5-dihydro-1H-imidazol-2-yl)phenyl]ethyl]-N-methylbutanamide"
Cc1cc2nc(SCc3nc(=O)c4ccccc4[nH]3)[nH]c2cc1C,"2-[(5,6-dimethyl-1H-benzimidazol-2-yl)sulfanylmethyl]-3H-quinazolin-4-one"
O=c1oc2cc(OCc3ccc(Cl)cc3)ccc2c2c1CCCC2,"3-[(4-chlorophenyl)methoxy]-7,8,9,10-tetrahydrobenzo[c]chromen-6-one"
CC(=O)N(CCC(=O)O)c1ncccc1C,3-[acetyl-(3-methyl-2-pyridinyl)amino]propanoic acid
CC(C)CCS(=O)(=O)NC1CCCC1Cl,N-(2-chlorocyclopentyl)-3-methylbutane-1-sulfonamide
COC(C)(C)C(=O)N1CCCN(C(=O)C2CC2)CC1,"1-[4-(cyclopropanecarbonyl)-1,4-diazepan-1-yl]-2-methoxy-2-methylpropan-1-one"
COc1ccc(NC(=O)[C@@H]2CC(=O)N(c3ccc(Cl)cc3)C2)cc1,(3R)-1-(4-chlorophenyl)-N-(4-methoxyphenyl)-5-oxopyrrolidine-3-carboxamide
Fc1ccc(CN2CCN(CCCl)CC2)cc1,1-(2-chloroethyl)-4-[(4-fluorophenyl)methyl]piperazine
O=c1c2c3c(sc2ncn1CCN1CCOCC1)C[C@H](NCc1ccc(F)cc1)CC3,"(7R)-7-[(4-fluorophenyl)methylamino]-3-(2-morpholin-4-ylethyl)-5,6,7,8-tetrahydro-[1]benzothiolo[2,3-d]pyrimidin-4-one"
CCCCn1c(Cc2ccccc2)nnc1SCC(=O)Nc1cc(C)on1,"2-[(5-benzyl-4-butyl-1,2,4-triazol-3-yl)sulfanyl]-N-(5-methyl-1,2-oxazol-3-yl)acetamide"
CCCCCCCCCCCCCOC(=O)CC(C[N+](C)(C)C)OC(=O)CCCCCCCC,trimethyl-(2-nonanoyloxy-4-oxo-4-tridecoxybutyl)azanium
COc1ccc(NC(=O)C[C@H]2NCCNC2=O)c(OC)c1,"N-(2,4-dimethoxyphenyl)-2-[(2R)-3-oxopiperazin-2-yl]acetamide"
