question_smiles,question_iupac,answer
Report the number of carbon atoms in COc1ccc2[nH]c(=O)c(CN(Cc3ccccc3OC)C(C)=O)cc2c1.,Report the number of carbon atoms in N-[(6-methoxy-2-oxo-1H-quinolin-3-yl)methyl]-N-[(2-methoxyphenyl)methyl]acetamide.,21
Count the number of carbon atoms in COc1cccc2cc([C@H]3CC(c4ccc(C)cc4)=NN3S(C)(=O)=O)c(Cl)nc12.,"Count the number of carbon atoms in 2-chloro-8-methoxy-3-[(3R)-5-(4-methylphenyl)-2-methylsulfonyl-3,4-dihydropyrazol-3-yl]quinoline.",21
What is the total count of carbon atoms in CCOCc1nc(-c2ccc3ccn(C(C)C)c3c2)n(-c2ccc(C(F)(F)F)cc2)n1?,"What is the total count of carbon atoms in 6-[5-(ethoxymethyl)-2-[4-(trifluoromethyl)phenyl]-1,2,4-triazol-3-yl]-1-propan-2-ylindole?",23
Compute the total number of carbons in CCCNC(=O)[C@@H](CC)N(Cc1ccccc1)C(=O)CCCN(c1ccc(F)cc1)S(C)(=O)=O.,Compute the total number of carbons in (2R)-2-[benzyl-[4-(4-fluoro-N-methylsulfonylanilino)butanoyl]amino]-N-propylbutanamide.,25
Identify the carbon atom count in the molecule CCCC1CCCCN1C(=O)C(NC(C)=O)C1CC(C(=O)O)CC1N=C(N)N.,Identify the carbon atom count in the molecule 3-[1-acetamido-2-oxo-2-(2-propylpiperidin-1-yl)ethyl]-4-(diaminomethylideneamino)cyclopentane-1-carboxylic acid.,19
How many carbon atoms make up the structure Cc1ccc(-n2ncc3c(NCCC4=CCCCC4)ncnc32)cc1C?,"How many carbon atoms make up the structure N-[2-(cyclohexen-1-yl)ethyl]-1-(3,4-dimethylphenyl)pyrazolo[3,4-d]pyrimidin-4-amine?",21
Identify the carbon atom count in the molecule O=C(Cn1c(CNC(=O)C2CCCCC2)nc2ccccc21)NCc1ccc(F)cc1.,Identify the carbon atom count in the molecule N-[[1-[2-[(4-fluorophenyl)methylamino]-2-oxoethyl]benzimidazol-2-yl]methyl]cyclohexanecarboxamide.,24
Compute the total number of carbons in CCC1CCC2(CC1)NC(=O)N(CC(=O)N[C@H](C)CCc1ccccc1)C2=O.,"Compute the total number of carbons in 2-(8-ethyl-2,4-dioxo-1,3-diazaspiro[4.5]decan-3-yl)-N-[(2R)-4-phenylbutan-2-yl]acetamide.",22
Determine the total carbon count for Cc1cccc(Cc2c(C)nc(SCc3ccc(Cl)cc3Cl)n(C)c2=O)c1.,"Determine the total carbon count for 2-[(2,4-dichlorophenyl)methylsulfanyl]-3,6-dimethyl-5-[(3-methylphenyl)methyl]pyrimidin-4-one.",21
"For the molecule Cc1ccc(C)c(-n2nc(C(=O)Nc3ccc(Br)cc3C)nc2-c2ccccc2)c1, how many carbon atoms does it contain?","For the molecule N-(4-bromo-2-methylphenyl)-1-(2,5-dimethylphenyl)-5-phenyl-1,2,4-triazole-3-carboxamide, how many carbon atoms does it contain?",24
Compute the total number of carbons in CN(C)CCc1c(C(c2c[nH]c3ccccc23)C(O)CO)[nH]c2ccc(O)cc12.,"Compute the total number of carbons in 3-[3-[2-(dimethylamino)ethyl]-5-hydroxy-1H-indol-2-yl]-3-(1H-indol-3-yl)propane-1,2-diol.",23
"For the molecule NC(=O)C1(CO)COC1, how many carbon atoms does it contain?","For the molecule 3-(hydroxymethyl)oxetane-3-carboxamide, how many carbon atoms does it contain?",5
"Given CCC(NC(=O)c1ccc(F)cc1N)c1cccc(Cl)c1, return the number of carbon atoms.","Given 2-amino-N-[1-(3-chlorophenyl)propyl]-4-fluorobenzamide, return the number of carbon atoms.",16
Compute the total number of carbons in COCC(COC)c1nc2cc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1CC1CCC(C)CC1.,"Compute the total number of carbons in 3-[4-(5-chloro-3-pyridinyl)-2-(1,3-dimethoxypropan-2-yl)-3-[(4-methylcyclohexyl)methyl]imidazo[4,5-c]pyridin-6-yl]-4H-1,2,4-oxadiazol-5-one.",26
