prompt,gt,smiles
Is the compound Cc1c(C#N)c(N)nc(S)c1C#N active against HIV?,0,Cc1c(C#N)c(N)nc(S)c1C#N
Is the compound CC(CC1(O)C(=O)Nc2ccccc21)=NO active against HIV?,0,CC(CC1(O)C(=O)Nc2ccccc21)=NO
"For the molecule O=C(O)c1ccccc1CC1Cc2ccccc2C1, return whether it is an HIV inhibitor or not.",0,O=C(O)c1ccccc1CC1Cc2ccccc2C1
What is the HIV property classification for the compound COc1cc(CC(=O)c2ccc3c(c2)OCO3)cc(OC)c1OC?,0,COc1cc(CC(=O)c2ccc3c(c2)OCO3)cc(OC)c1OC
Evaluate the HIV activity of the molecule encoded as CN1CC(c2ccccc2)N(CCCCN2CC(c3ccccc3)N(C)CC2c2ccccc2)CC1c1ccccc1.,0,CN1CC(c2ccccc2)N(CCCCN2CC(c3ccccc3)N(C)CC2c2ccccc2)CC1c1ccccc1
Evaluate the HIV activity of the molecule encoded as CCCCc1c2c(nc3c1CCc1cc(C=O)c(N)nc1-3)C(=Cc1ccccc1)CCC2.Cl.,0,CCCCc1c2c(nc3c1CCc1cc(C=O)c(N)nc1-3)C(=Cc1ccccc1)CCC2.Cl
Evaluate the HIV activity of the molecule encoded as C=C(C=NN(C)C)CC1c2c(O)ccc3cccc(c23)N1S(=O)(=O)c1ccc(C)cc1.,0,C=C(C=NN(C)C)CC1c2c(O)ccc3cccc(c23)N1S(=O)(=O)c1ccc(C)cc1
Is the compound COc1ccc(CCN2COc3ccc4ccc(=O)oc4c3C2)cc1OC active against HIV?,0,COc1ccc(CCN2COc3ccc4ccc(=O)oc4c3C2)cc1OC
Predict the HIV inhibitor property for the molecule with SMILES: CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)CCO3,0,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)CCO3
Evaluate the HIV activity of the molecule encoded as CCOC(=O)c1cc(C2CCN(c3ccccc3)C2=O)c(C(=O)C=C(C)O)[nH]1.,0,CCOC(=O)c1cc(C2CCN(c3ccccc3)C2=O)c(C(=O)C=C(C)O)[nH]1
Evaluate the HIV activity of the molecule encoded as O=c1c(Sc2c(O)c3ccccc3c3ccccc3c2=O)c(O)c2ccccc2c2ccccc12.,0,O=c1c(Sc2c(O)c3ccccc3c3ccccc3c2=O)c(O)c2ccccc2c2ccccc12
Classify the molecule Br.CN(C)CCSc1nccc(-c2ccc(-c3ccnc(SCCN(C)C)n3)s2)n1 with respect to its HIV inhibitory activity.,0,Br.CN(C)CCSc1nccc(-c2ccc(-c3ccnc(SCCN(C)C)n3)s2)n1
"Given the SMILES Cn1c2ccccc2n2c3nc4ccccc4nc3c(C#N)c12, determine if it has HIV inhibition properties.",0,Cn1c2ccccc2n2c3nc4ccccc4nc3c(C#N)c12
Does the structure O=C(CC(=O)C(=O)CC(=O)OCc1ccccc1)OCc1ccccc1 inhibit HIV?,0,O=C(CC(=O)C(=O)CC(=O)OCc1ccccc1)OCc1ccccc1
Evaluate the HIV activity of the molecule encoded as CCOC(=O)c1cn(-c2ccccc2)c(=S)n2c1nc1ccccc12.,0,CCOC(=O)c1cn(-c2ccccc2)c(=S)n2c1nc1ccccc12
"Given the SMILES CC(C)C(=O)Oc1cc2c(=O)oc3c(OC(=O)C(C)C)c(OC(=O)C(C)C)cc4c(=O)oc(c1OC(=O)C(C)C)c2c34, determine if it has HIV inhibition properties.",0,CC(C)C(=O)Oc1cc2c(=O)oc3c(OC(=O)C(C)C)c(OC(=O)C(C)C)cc4c(=O)oc(c1OC(=O)C(C)C)c2c34
