question,reactants,products,answer
"In the chemical transformation where the reactants are H3N.C6H5Br2NS, what compounds are produced?",H3N.C6H5Br2NS,HBr.C6H7BrN2S,HBr.C6H7BrN2S
"Based on the listed reactants (C4H9I.K+.H2O.K+.I-.C16H36N+.C19H19FN2O5.CO3-2.C3H7NO), predict the products of the reaction.",C4H9I.K+.H2O.K+.I-.C16H36N+.C19H19FN2O5.CO3-2.C3H7NO,CO3-2.HI.C16H36N+.K+.C3H7NO.C23H27FN2O5.K+.H2O.I-,CO3-2.HI.C16H36N+.K+.C3H7NO.C23H27FN2O5.K+.H2O.I-
"For the reaction starting from reactants HO-.Na+.C6H15N.HCl.C11H13NO2.C15H16F3N3O2.CH2Cl2, determine the resulting products.",HO-.Na+.C6H15N.HCl.C11H13NO2.C15H16F3N3O2.CH2Cl2,HCl.C26H29F3N4O3.CH2Cl2.Na+.O.HO-.C6H15N,HCl.C26H29F3N4O3.CH2Cl2.Na+.O.HO-.C6H15N
"Based on the listed reactants (C2H6O.H2.C16H15NO.CHCl3.C7H10N2O2S), predict the products of the reaction.",C2H6O.H2.C16H15NO.CHCl3.C7H10N2O2S,C2H6O.CHCl3.C7H10N2O2S.C16H17N.O,C2H6O.CHCl3.C7H10N2O2S.C16H17N.O
Consider the chemical reaction involving the reactants C14H27N.C6H8O7.C2H3O2-.C8H8INO.C4H8O2.C2H3O2-.Pd+2.C4H9NO.C19H20FNO2. What products are formed?,C14H27N.C6H8O7.C2H3O2-.C8H8INO.C4H8O2.C2H3O2-.Pd+2.C4H9NO.C19H20FNO2,C27H27FN2O3.C4H8O2.C6H8O7.HI.C2H3O2-.C14H27N.Pd+2.C2H3O2-.C4H9NO,C27H27FN2O3.C4H8O2.C6H8O7.HI.C2H3O2-.C14H27N.Pd+2.C2H3O2-.C4H9NO
What are the expected reaction products from the reactants C4H5NO.C7H7ClN2O.C4H8O?,C4H5NO.C7H7ClN2O.C4H8O,C11H12ClN3O2.C4H8O,C11H12ClN3O2.C4H8O
"For the reaction starting from reactants C2H2BrN.C8H17NO2, determine the resulting products.",C2H2BrN.C8H17NO2,C10H18N2O2.HBr,C10H18N2O2.HBr
"For the reaction starting from reactants C12H12ClNO3S2.C8H8F2N-.N, determine the resulting products.",C12H12ClNO3S2.C8H8F2N-.N,ClN-.C20H20F2N2O3S2,ClN-.C20H20F2N2O3S2
Determine the products formed when the reactants I-.C2H4O2.H4N+.C11H12F3N3O.H2O2.I undergo reaction.,I-.C2H4O2.H4N+.C11H12F3N3O.H2O2.I,C2H4O2.H4N+.C11H11F3IN3O.HI-.H2O2,C2H4O2.H4N+.C11H11F3IN3O.HI-.H2O2
"For the reaction starting from reactants HCl.C3H6ClNO.C23H18F6N2O3.C4H10O.C5H5N, determine the resulting products.",HCl.C3H6ClNO.C23H18F6N2O3.C4H10O.C5H5N,C26H23F6N3O4.C4H10O.C5H5N.HCl.HCl,C26H23F6N3O4.C4H10O.C5H5N.HCl.HCl
"Based on the listed reactants (C5H10Br2.H-.C3H7NO.C10H9NO2.Na+), predict the products of the reaction.",C5H10Br2.H-.C3H7NO.C10H9NO2.Na+,HBr.H-.C3H7NO.C15H18BrNO2.Na+,HBr.H-.C3H7NO.C15H18BrNO2.Na+
"Using the given reaction specification:
Reactants: C13H23NO3.C7H4ClNO4.C4H8O2.C5H5N
Identify the products.",C13H23NO3.C7H4ClNO4.C4H8O2.C5H5N,C5H5N.C20H26N2O7.C4H8O2.HCl,C5H5N.C20H26N2O7.C4H8O2.HCl
Determine the products formed when the reactants C17H11ClN2OS.HCl.C4H8O2.C3H4N2O.H-.H2O.Na+.C3H7NO undergo reaction.,C17H11ClN2OS.HCl.C4H8O2.C3H4N2O.H-.H2O.Na+.C3H7NO,H-.C4H8O2.C3H7NO.HCl.C20H14N4O2S.H2O.Na+.HCl,H-.C4H8O2.C3H7NO.HCl.C20H14N4O2S.H2O.Na+.HCl
"Using the given reaction specification:
Reactants: C6H15N.CH2Cl2.C8H12N2O4S.C7H3ClF2O.C4H8O2
Identify the products.",C6H15N.CH2Cl2.C8H12N2O4S.C7H3ClF2O.C4H8O2,CH2Cl2.C6H15N.HCl.C4H8O2.C15H14F2N2O5S,CH2Cl2.C6H15N.HCl.C4H8O2.C15H14F2N2O5S
Determine the products formed when the reactants H2O.CO3-2.C18H18BrF3N2O4S.C4H9NO.Na+.C13H21N.Na+ undergo reaction.,H2O.CO3-2.C18H18BrF3N2O4S.C4H9NO.Na+.C13H21N.Na+,Na+.C22H26F3N3O5S.Na+.H2O.CO3-2.HBr.C13H21N,Na+.C22H26F3N3O5S.Na+.H2O.CO3-2.HBr.C13H21N
Determine the products formed when the reactants C18H16ClNO2.CO3-2.K+.H2O.C13H18O4.K+.C3H7NO undergo reaction.,C18H16ClNO2.CO3-2.K+.H2O.C13H18O4.K+.C3H7NO,K+.H2O.HCl.K+.C3H7NO.CO3-2.C31H33NO6,K+.H2O.HCl.K+.C3H7NO.CO3-2.C31H33NO6
"Given the following reactants:
C2H3N.C8H10N4S.C3H2F3NS
Predict the reaction products.",C2H3N.C8H10N4S.C3H2F3NS,C11H12F3N5S2.C2H3N,C11H12F3N5S2.C2H3N
Determine the products formed when the reactants F-.C7H6Cl2.C7H6O3.C2H3N.K+ undergo reaction.,F-.C7H6Cl2.C7H6O3.C2H3N.K+,C14H11ClO3.C2H3N.F-.HCl.K+,C14H11ClO3.C2H3N.F-.HCl.K+
"Based on the listed reactants (C4H8O.N2.C6H12), predict the products of the reaction.",C4H8O.N2.C6H12,C10H20O.N2,C10H20O.N2
"Based on the listed reactants (C4H8O2.C3H7NO.C10H12O3.C9H11Cl), predict the products of the reaction.",C4H8O2.C3H7NO.C10H12O3.C9H11Cl,C3H7NO.C4H8O2.HCl.C19H22O3,C3H7NO.C4H8O2.HCl.C19H22O3
What are the expected reaction products from the reactants C13H19NO2.C12H12BrNO2.C10H14BrNO2S?,C13H19NO2.C12H12BrNO2.C10H14BrNO2S,HBr.C12H12BrNO2.C23H32N2O4S,HBr.C12H12BrNO2.C23H32N2O4S
"Given the following reactants:
C12H15ClN2.C8H11N
Predict the reaction products.",C12H15ClN2.C8H11N,C20H25N3.HCl,C20H25N3.HCl
"Reactants: H2.C4H8O.C2H6O.C15H17N3O2
Products:",H2.C4H8O.C2H6O.C15H17N3O2,C15H19N3O2.C4H8O.C2H6O,C15H19N3O2.C4H8O.C2H6O
"In the chemical transformation where the reactants are C7H15N3O.C29H30Cl3N3O2, what compounds are produced?",C7H15N3O.C29H30Cl3N3O2,HCl.C36H44Cl2N6O3,HCl.C36H44Cl2N6O3
"For the reaction starting from reactants Li+.H2.H-.H-.H-.C4H8O.Al+3.H-.C13H8ClNOS, determine the resulting products.",Li+.H2.H-.H-.H-.C4H8O.Al+3.H-.C13H8ClNOS,Li+.O.H-.H-.C4H8O.H-.H-.C13H10ClNS.Al+3,Li+.O.H-.H-.C4H8O.H-.H-.C13H10ClNS.Al+3
"From the reaction defined solely by the reactants C4H10N2.C3H7NO.C6H3ClF3N.C6H15N, predict the products.",C4H10N2.C3H7NO.C6H3ClF3N.C6H15N,C6H15N.HCl.C10H12F3N3.C3H7NO,C6H15N.HCl.C10H12F3N3.C3H7NO
"Based on the listed reactants (NO3-.K+.C7H5BrO.H2O4S), predict the products of the reaction.",NO3-.K+.C7H5BrO.H2O4S,HO-.H2O4S.C7H4BrNO3.K+,HO-.H2O4S.C7H4BrNO3.K+
"Reactants: CH4O.Na+.CH5N.CH3BN-.Cl-.H2.CH6N+.C23H30FNO
Products:",CH4O.Na+.CH5N.CH3BN-.Cl-.H2.CH6N+.C23H30FNO,BO-.Cl-.Na+.CH5N.CH6N+.C24H35FN2.CH4O,BO-.Cl-.Na+.CH5N.CH6N+.C24H35FN2.CH4O
What are the expected reaction products from the reactants C3H7NO.C12H9NOS.H-.Na+.C3H7Br?,C3H7NO.C12H9NOS.H-.Na+.C3H7Br,H-.HBr.C15H15NOS.C3H7NO.Na+,H-.HBr.C15H15NOS.C3H7NO.Na+
"In the chemical transformation where the reactants are Mg.K+.HO4S-.H2O.CH2Cl2.C8H8O.H.HCl.C4H8O.C7H7Br, what compounds are produced?",Mg.K+.HO4S-.H2O.CH2Cl2.C8H8O.H.HCl.C4H8O.C7H7Br,Br.Mg.C4H8O.HCl.CH2Cl2.H2O.C15H16O.K+.HO4S-,Br.Mg.C4H8O.HCl.CH2Cl2.H2O.C15H16O.K+.HO4S-
What are the expected reaction products from the reactants C8H7N3.C9H9BrO2.K+.C7H8.K+.CO3-2.C4H8O2.Pd+2.C2H3O2-.C44H32P2.C2H3O2-?,C8H7N3.C9H9BrO2.K+.C7H8.K+.CO3-2.C4H8O2.Pd+2.C2H3O2-.C44H32P2.C2H3O2-,C4H8O2.K+.HBr.C2H3O2-.C17H15N3O2.Pd+2.K+.C2H3O2-.C7H8.CO3-2.C44H32P2,C4H8O2.K+.HBr.C2H3O2-.C17H15N3O2.Pd+2.K+.C2H3O2-.C7H8.CO3-2.C44H32P2
"Using the given reaction specification:
Reactants: Na.H2O.C3H5N3.C11H4Cl7N.C3H7NO
Identify the products.",Na.H2O.C3H5N3.C11H4Cl7N.C3H7NO,C3H7NO.Na.HCl.C14H8Cl6N4.H2O,C3H7NO.Na.HCl.C14H8Cl6N4.H2O
