,question,answer,task
0,Determine the total carbon count for C#CC12CC(O1)C2C.,7,carbon_count
1,Count the number of carbon atoms in CC1NC1C1NC1C.,6,carbon_count
2,"How many carbon atoms make up the structure 1-(2H-triazol-4-yl)ethane-1,2-diol?",4,carbon_count
3,"How many carbon atoms make up the structure 5-methylsulfanyl-3-(2-piperidin-4-ylethyl)-1,3,4-thiadiazole-2-thione?",10,carbon_count
4,"Identify the carbon atom count in the molecule N-[(5-chloro-8-hydroxyquinolin-7-yl)-(2-methoxyphenyl)methyl]-3,4,5-trimethoxybenzamide.",27,carbon_count
5,Determine the total carbon count for 2-methyl-N-[3-(oxolan-2-yl)propyl]pentan-3-amine.,13,carbon_count
6,"How many carbon atoms make up the structure (1R,2S,5S,6R,7R)-2-N-cyclohexyl-3-(3-methoxypropyl)-6-N-(4-methylphenyl)-4-oxo-10-oxa-3-azatricyclo[5.2.1.01,5]dec-8-ene-2,6-dicarboxamide?",27,carbon_count
7,Determine the total carbon count for COC(=O)C(Cc1ccccc1)NC(=O)CCNNC(=O)C(CCCCN)NC(=O)Cc1cc(OC)ccc1OC.,29,carbon_count
8,"Determine the total carbon count for 3-(4,6-dimethyl-2-oxo-1H-pyrimidin-5-yl)-N-(6-fluoro-3,4-dihydro-2H-chromen-4-yl)propanamide.",18,carbon_count
9,"Count the number of carbon atoms in 2-[4-[3-[[(1S)-1-(carboxymethyl)-2,3-dihydro-1H-inden-5-yl]oxy]propoxy]phenyl]-4-methyl-1,3-thiazole-5-carboxylic acid.",25,carbon_count
10,"Given CC12CC3(O)C1COC23, return the number of carbon atoms.",7,carbon_count
11,Compute the total number of carbons in 6-fluoro-2-methylpyridin-3-ol.,6,carbon_count
12,"For the molecule CCC1OC12CCCC2, how many carbon atoms does it contain?",8,carbon_count
13,Report the number of carbon atoms in [(3R)-3-hydroxypiperidin-1-yl]-[2-(6-pyrimidin-5-ylindolizin-3-yl)pyrazol-3-yl]methanone.,21,carbon_count
14,"Count the number of carbon atoms in 4,9-dimethoxyfuro[3,2-g]chromen-7-one.",13,carbon_count
15,Identify the carbon atom count in the molecule CN(C=O)C1=CCOC1.,6,carbon_count
16,How many carbons are present in the molecule COc1cc(/C=N\c2sc3c(c2C(=O)Nc2ccccc2)CC[C@H](C(C)(C)C)C3)ccc1OCc1ccc([N+](=O)[O-])cc1?,34,carbon_count
17,"Determine the total carbon count for (3R)-4-(1,3-benzodioxol-5-yl)-2-(4-ethylphenyl)pyrrolidine-3-carboxylic acid.",20,carbon_count
18,Identify the carbon atom count in the molecule CC1C(=O)C(C)(C)N1C.,7,carbon_count
19,"Report the number of carbon atoms in 8-[3-[4-(furan-2-carbonyl)piperazin-1-yl]-2-hydroxypropoxy]-4H-1,4-benzothiazin-3-one.",20,carbon_count
