question,answer,type
Determine the products formed when the reactants C1CCOC1.CC(=O)[O-].CC(=O)[O-].CCOC(C)=O.COc1cccc([Mg+])c1.O.O=C1c2ccc(OS(=O)(=O)C(F)(F)F)cc2C(=O)N1Cc1cccnc1.[Br-].[Cl-].[Cl-].[Pd+2].[Zn+2] undergo reaction.,COc1cccc(-c2ccc3c(c2)C(=O)N(Cc2cccnc2)C3=O)c1,forward
"Reactants: C1CCOC1.CC(C)(C)[O-].O=C(Cl)c1cccc([N+](=O)[O-])c1.[K+]
Products:",CC(C)(C)OC(=O)c1cccc([N+](=O)[O-])c1,forward
"From the reaction defined solely by the reactants CCOC(=O)C(C)(C)Oc1ccc(O)cc1C.FC(F)(F)c1ccc(-c2cc(C(F)(F)F)c(CCl)cn2)cc1, predict the products.",CCOC(=O)C(C)(C)Oc1ccc(OCc2cnc(-c3ccc(C(F)(F)F)cc3)cc2C(F)(F)F)cc1C,forward
"Based on the listed reactants (Brc1nccs1.C1CCOC1.CC(C)(O)CCO.CCc1c(Cn2ccnc2-c2nccs2)nc2ccc(Cl)nn12), predict the products of the reaction.",CCc1c(Cn2ccnc2-c2nccs2)nc2ccc(OCCC(C)(C)O)nn12,forward
"Given the following reactants:
CN(C)C=O.COc1cccc(N)c1.Cc1nc(CCl)cs1.Cl.O=C([O-])[O-].[K+].[K+]
Predict the reaction products.",COc1cccc(NCc2csc(C)n2)c1,forward
"Reactants: CC1CCC(N(C(=O)Nc2ncc(C=O)s2)C2CCCCC2)CC1.CCS(=O)(=O)N1CCNCC1.Cl
Products:",CCS(=O)(=O)N1CCN(Cc2cnc(NC(=O)N(C3CCCCC3)C3CCC(C)CC3)s2)CC1,forward
What are the expected reaction products from the reactants C1CCOC1.CN(C)C=O.Cl.O=C(O)c1ccc(-c2ccc(Cl)cc2)s1.[Li]CCCC?,O=Cc1cc(-c2ccc(Cl)cc2)sc1C(=O)O,forward
"Given the following reactants:
CC(C)(C)OC(=O)NC1CCN(CCN2C(=O)COc3ccc(Br)cc32)CC1.N#Cc1ccc2ccc(=O)n(CCN3CCC(N)CC3)c2c1
Predict the reaction products.",NC1CCN(CCN2C(=O)COc3ccc(Br)cc32)CC1,forward
"Using the given reaction specification:
Reactants: COC(=O)CC(C)(O)CC(N)=O.O.[Na+].[OH-]
Identify the products.",CC(O)(CC(N)=O)CC(=O)O,forward
Consider the chemical reaction involving the reactants CN(C)C=O.O=C([O-])[O-].O=[N+]([O-])c1cc(Br)ccc1F.Oc1ccccc1.[K+].[K+]. What products are formed?,O=[N+]([O-])c1cc(Br)ccc1Oc1ccccc1,forward
