rep_1,rep_2,question,answer,task
iupac,smiles,"Determine whether 2-[(5-benzyl-1H-1,2,4-triazol-3-yl)sulfanyl]acetic acid and OC(CSc1nnc(Cc2ccccc2)[nH]1)=O refer to the same chemical compound.",1,name_equivalence
iupac,smiles,"Are methyl 3-[[2-[[5-(furan-2-yl)-1,3,4-oxadiazol-2-yl]sulfanyl]acetyl]amino]benzoate and c1(occc1)-c1nnc(SCC(=O)Nc2cccc(C(OC)=O)c2)o1 equivalent representations of the same molecule?",1,name_equivalence
iupac,smiles,"Determine whether 2-amino-3-[5-(2,4-dichlorophenyl)-1,2,4-oxadiazol-3-yl]-1-pyrrolidin-1-ylbutan-1-one and CCN/C(=N\CC(=O)NC(C)(C)C)NCC(c1ccco1)N(CC)CC refer to the same chemical compound.",0,name_equivalence
iupac,smiles,"Do these two representations, 6-[(3-chlorophenyl)methylsulfanyl]-1,5-dihydropyrazolo[5,4-d]pyrimidin-4-one and S(c1nc(=O)c2c([nH]1)n[nH]c2)Cc1cc(ccc1)Cl, describe the same molecule?",1,name_equivalence
iupac,smiles,Do the two chemical representations 3-[[2-(4-chlorophenyl)acetyl]amino]-4-methylpentanoic acid and O=C(Cc1ccc(Cl)cc1)NC(CC(O)=O)C(C)C describe the same molecule?,1,name_equivalence
iupac,smiles,"Do these two representations, 3-hydroxy-N-(2-methylphenyl)-4-[(3-methyl-2-pyridinyl)methylamino]pyrrolidine-1-carboxamide and c1c(NC(=O)N2CC(NCc3c(C)cccn3)C(O)C2)c(ccc1)C, describe the same molecule?",1,name_equivalence
iupac,smiles,"Do these two representations, 1-tricyclo[4.1.0.02,4]heptanylmethanol and c1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccc(-c5ccc(N(c6ccccc6)c6ccc(-n7nc8ccccc8n7)cc6)cc5)cc4)cc3)cc2)cc1.c1ccc(N(c2ccc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccc(-c6ccc(-n7nc8ccccc8n7)cc6)cc5)cc4)cc3)cc2)c2ccc(-c3ccc(-n4nc5ccccc5n4)cc3)cc2)cc1.c1ccc(N(c2ccc(-c3ccc(N(c4ccccc4)c4ccc(-n5nc6ccccc6n5)cc4)cc3)cc2)c2ccc(-n3nc4ccccc4n3)cc2)cc1, describe the same molecule?",0,name_equivalence
iupac,smiles,Verify whether 6-bromo-2-imino-N-[(4-methylphenyl)methyl]chromene-3-carboxamide and NCC(C(=O)Cc1c(F)ccc(Br)c1F)c1ccccc1 correspond to an identical molecule.,0,name_equivalence
iupac,smiles,"Do these two representations, 6-methylpyrazin-2-amine and n1c(N)cncc1C, describe the same molecule?",1,name_equivalence
iupac,smiles,"Determine whether 2,4-dimethyl-3-(6-morpholin-4-ylhexoxy)-2H-thiophen-5-one and C1N(CCCCCCOC2=C(C)C(SC2C)=O)CCOC1 refer to the same chemical compound.",1,name_equivalence
