rep,carbon_count_q,carbon_count_a,ring_count_q,ring_count_a,functional_group_q,functional_group_a,bond_type_q,bond_type_a
smiles,Count the number of carbon atoms in CCCCCCCC[Si](Cl)(CC)CCCCCCCC.,18,Count the number of rings in CCCCCCCC[Si](Cl)(CC)CCCCCCCC.,0,Does the molecule CCCCCCCC[Si](Cl)(CC)CCCCCCCC contain a halide functional group?,1,Does the molecule CCCCCCCC[Si](Cl)(CC)CCCCCCCC contain any triple bonds?,0
smiles,Count the number of carbon atoms in CN(C)c1cc(-c2cccc(Br)c2)cnn1.,12,Count the number of rings in CN(C)c1cc(-c2cccc(Br)c2)cnn1.,2,Does the molecule CN(C)c1cc(-c2cccc(Br)c2)cnn1 contain a amide functional group?,0,Does the molecule CN(C)c1cc(-c2cccc(Br)c2)cnn1 contain any aromatic bonds?,1
smiles,Count the number of carbon atoms in COc1cccc(C(C)(CC(=O)O)NC(=O)c2cccn(C)c2=O)c1.,18,Count the number of rings in COc1cccc(C(C)(CC(=O)O)NC(=O)c2cccn(C)c2=O)c1.,2,Does the molecule COc1cccc(C(C)(CC(=O)O)NC(=O)c2cccn(C)c2=O)c1 contain a amine functional group?,1,Does the molecule COc1cccc(C(C)(CC(=O)O)NC(=O)c2cccn(C)c2=O)c1 contain any double bonds?,1
smiles,Count the number of carbon atoms in Cc1cc(F)cc(C(=O)N2CCCC[C@H]2CC(=O)O)c1.,15,Count the number of rings in Cc1cc(F)cc(C(=O)N2CCCC[C@H]2CC(=O)O)c1.,2,Does the molecule Cc1cc(F)cc(C(=O)N2CCCC[C@H]2CC(=O)O)c1 contain a phenol functional group?,0,Does the molecule Cc1cc(F)cc(C(=O)N2CCCC[C@H]2CC(=O)O)c1 contain any triple bonds?,0
smiles,Count the number of carbon atoms in Cc1ccc2c(CNC3CCC(C)CC3)c(C(=O)O)n(Cc3cccc(F)c3)c2c1.,25,Count the number of rings in Cc1ccc2c(CNC3CCC(C)CC3)c(C(=O)O)n(Cc3cccc(F)c3)c2c1.,4,Does the molecule Cc1ccc2c(CNC3CCC(C)CC3)c(C(=O)O)n(Cc3cccc(F)c3)c2c1 contain a amine functional group?,1,Does the molecule Cc1ccc2c(CNC3CCC(C)CC3)c(C(=O)O)n(Cc3cccc(F)c3)c2c1 contain any aromatic bonds?,1
smiles,Count the number of carbon atoms in COc1ccc(CCNC(=O)c2ccc(NC(=O)C[C@@H]3SC(N4CCCCC4)=NC3=O)cc2)cc1OC.,27,Count the number of rings in COc1ccc(CCNC(=O)c2ccc(NC(=O)C[C@@H]3SC(N4CCCCC4)=NC3=O)cc2)cc1OC.,4,Does the molecule COc1ccc(CCNC(=O)c2ccc(NC(=O)C[C@@H]3SC(N4CCCCC4)=NC3=O)cc2)cc1OC contain a alcohol functional group?,0,Does the molecule COc1ccc(CCNC(=O)c2ccc(NC(=O)C[C@@H]3SC(N4CCCCC4)=NC3=O)cc2)cc1OC contain any triple bonds?,0
smiles,Count the number of carbon atoms in CCCCCC1CCC(c2ccccc2)N(C)C1c1ccccc1.,23,Count the number of rings in CCCCCC1CCC(c2ccccc2)N(C)C1c1ccccc1.,3,Does the molecule CCCCCC1CCC(c2ccccc2)N(C)C1c1ccccc1 contain a amine functional group?,1,Does the molecule CCCCCC1CCC(c2ccccc2)N(C)C1c1ccccc1 contain any aromatic bonds?,1
smiles,Count the number of carbon atoms in CC1NC=C(C=O)C1O.,6,Count the number of rings in CC1NC=C(C=O)C1O.,1,Does the molecule CC1NC=C(C=O)C1O contain a carboxylic_acid functional group?,0,Does the molecule CC1NC=C(C=O)C1O contain any triple bonds?,0
smiles,Count the number of carbon atoms in CN1C(=O)C[C@H](C(=O)N2CCC3(CC2)OCCO3)c2ccccc21.,18,Count the number of rings in CN1C(=O)C[C@H](C(=O)N2CCC3(CC2)OCCO3)c2ccccc21.,4,Does the molecule CN1C(=O)C[C@H](C(=O)N2CCC3(CC2)OCCO3)c2ccccc21 contain a amine functional group?,1,Does the molecule CN1C(=O)C[C@H](C(=O)N2CCC3(CC2)OCCO3)c2ccccc21 contain any aromatic bonds?,1
smiles,Count the number of carbon atoms in CCCCCCCCC=CC(=O)C(F)(F)F.,12,Count the number of rings in CCCCCCCCC=CC(=O)C(F)(F)F.,0,Does the molecule CCCCCCCCC=CC(=O)C(F)(F)F contain a phenol functional group?,0,Does the molecule CCCCCCCCC=CC(=O)C(F)(F)F contain any triple bonds?,0
smiles,Count the number of carbon atoms in CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.,8,Count the number of rings in CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.,0,Does the molecule CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F contain a amide functional group?,1,Does the molecule CNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F contain any double bonds?,1
smiles,Count the number of carbon atoms in O=C(Nc1ccc(Cl)cc1F)C1CCN(c2ccc3nnc(C(F)(F)F)n3n2)CC1.,18,Count the number of rings in O=C(Nc1ccc(Cl)cc1F)C1CCN(c2ccc3nnc(C(F)(F)F)n3n2)CC1.,4,Does the molecule O=C(Nc1ccc(Cl)cc1F)C1CCN(c2ccc3nnc(C(F)(F)F)n3n2)CC1 contain a nitro functional group?,0,Does the molecule O=C(Nc1ccc(Cl)cc1F)C1CCN(c2ccc3nnc(C(F)(F)F)n3n2)CC1 contain any triple bonds?,0
smiles,Count the number of carbon atoms in CCN(C(=O)Cn1c(=O)nc(-c2ccccc2)c2cc(Cl)ccc21)c1cccc(C)c1.,25,Count the number of rings in CCN(C(=O)Cn1c(=O)nc(-c2ccccc2)c2cc(Cl)ccc21)c1cccc(C)c1.,4,Does the molecule CCN(C(=O)Cn1c(=O)nc(-c2ccccc2)c2cc(Cl)ccc21)c1cccc(C)c1 contain a ketone functional group?,1,Does the molecule CCN(C(=O)Cn1c(=O)nc(-c2ccccc2)c2cc(Cl)ccc21)c1cccc(C)c1 contain any double bonds?,1
smiles,Count the number of carbon atoms in C#CCC(C)C#CCC.,9,Count the number of rings in C#CCC(C)C#CCC.,0,Does the molecule C#CCC(C)C#CCC contain a ester functional group?,0,Does the molecule C#CCC(C)C#CCC contain any aromatic bonds?,0
smiles,Count the number of carbon atoms in COc1c(O)ccc2c1-c1ccc3c(c1C(=Cc1oc(C)cc1C(=O)N(C)C)O2)C(C)=CC(C)(C)N3.,29,Count the number of rings in COc1c(O)ccc2c1-c1ccc3c(c1C(=Cc1oc(C)cc1C(=O)N(C)C)O2)C(C)=CC(C)(C)N3.,5,Does the molecule COc1c(O)ccc2c1-c1ccc3c(c1C(=Cc1oc(C)cc1C(=O)N(C)C)O2)C(C)=CC(C)(C)N3 contain a alcohol functional group?,1,Does the molecule COc1c(O)ccc2c1-c1ccc3c(c1C(=Cc1oc(C)cc1C(=O)N(C)C)O2)C(C)=CC(C)(C)N3 contain any double bonds?,1
smiles,Count the number of carbon atoms in CONC(=S)NN=C1C(=O)N(CN2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)c2ccc(C)cc21.,29,Count the number of rings in CONC(=S)NN=C1C(=O)N(CN2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)c2ccc(C)cc21.,6,Does the molecule CONC(=S)NN=C1C(=O)N(CN2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)c2ccc(C)cc21 contain a phenol functional group?,0,Does the molecule CONC(=S)NN=C1C(=O)N(CN2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)c2ccc(C)cc21 contain any triple bonds?,0
smiles,Count the number of carbon atoms in Cc1ccoc1C(=O)NC[C@H](c1ccccc1)N(C)C.,16,Count the number of rings in Cc1ccoc1C(=O)NC[C@H](c1ccccc1)N(C)C.,2,Does the molecule Cc1ccoc1C(=O)NC[C@H](c1ccccc1)N(C)C contain a amide functional group?,1,Does the molecule Cc1ccoc1C(=O)NC[C@H](c1ccccc1)N(C)C contain any aromatic bonds?,1
smiles,Count the number of carbon atoms in CCC(Br)C(=O)N1CCN(C)C(C)C1.,10,Count the number of rings in CCC(Br)C(=O)N1CCN(C)C(C)C1.,1,Does the molecule CCC(Br)C(=O)N1CCN(C)C(C)C1 contain a ester functional group?,0,Does the molecule CCC(Br)C(=O)N1CCN(C)C(C)C1 contain any aromatic bonds?,0
smiles,Count the number of carbon atoms in CCc1nn(C)c2c(=O)n(CCN3CCCC3=O)cnc12.,14,Count the number of rings in CCc1nn(C)c2c(=O)n(CCN3CCCC3=O)cnc12.,3,Does the molecule CCc1nn(C)c2c(=O)n(CCN3CCCC3=O)cnc12 contain a ketone functional group?,1,Does the molecule CCc1nn(C)c2c(=O)n(CCN3CCCC3=O)cnc12 contain any aromatic bonds?,1
smiles,Count the number of carbon atoms in CCCc1c(C)ccc2nn(C(C)C)c(C(=O)[O-])c12.,15,Count the number of rings in CCCc1c(C)ccc2nn(C(C)C)c(C(=O)[O-])c12.,2,Does the molecule CCCc1c(C)ccc2nn(C(C)C)c(C(=O)[O-])c12 contain a amine functional group?,0,Does the molecule CCCc1c(C)ccc2nn(C(C)C)c(C(=O)[O-])c12 contain any triple bonds?,0
smiles,Count the number of carbon atoms in CCN/C(=N\CC1CCN(c2ccc(F)c(F)c2)C1)NCCCOCC1CC1.,21,Count the number of rings in CCN/C(=N\CC1CCN(c2ccc(F)c(F)c2)C1)NCCCOCC1CC1.,3,Does the molecule CCN/C(=N\CC1CCN(c2ccc(F)c(F)c2)C1)NCCCOCC1CC1 contain a halide functional group?,1,Does the molecule CCN/C(=N\CC1CCN(c2ccc(F)c(F)c2)C1)NCCCOCC1CC1 contain any aromatic bonds?,1
