prompt,gt,smiles
"Given the SMILES CNC(=O)c1ccc(cc1)c2cc(C(=O)N[C@H]3CCCNC3)c(NC(=O)N)s2, compute its lipophilicity.",0.7,CNC(=O)c1ccc(cc1)c2cc(C(=O)N[C@H]3CCCNC3)c(NC(=O)N)s2
Estimate the lipophilicity property of CCOc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c4ccc(F)cn4)n[nH]1.,2.55,CCOc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c4ccc(F)cn4)n[nH]1
What is the predicted lipophilicity (Lipo) of COc1cc2c(Nc3ccc(F)c(Cl)c3)c(cnc2cc1OCCN(C)CCO)C(=O)N?,3.2,COc1cc2c(Nc3ccc(F)c(Cl)c3)c(cnc2cc1OCCN(C)CCO)C(=O)N
What is the logD/lipophilicity of Cc1onc(n1)c2ccc(OCC3CN(C3)c4ccc(C)nn4)cc2?,2.62,Cc1onc(n1)c2ccc(OCC3CN(C3)c4ccc(C)nn4)cc2
Estimate the lipophilicity property of COc1cc(ccc1Nc2ncc(Cl)c(Oc3cccc(NC(=O)C=C)c3)n2)N4CCN(C)CC4.,3.9,COc1cc(ccc1Nc2ncc(Cl)c(Oc3cccc(NC(=O)C=C)c3)n2)N4CCN(C)CC4
Report the predicted Lipo value for Fc1ccc(cc1)C(=O)N2CCC(CC2)C(=O)c3ccc(Cl)cc3.,3.49,Fc1ccc(cc1)C(=O)N2CCC(CC2)C(=O)c3ccc(Cl)cc3
How lipophilic is Cc1ccc(cc1)n2nc(cc2NC(=O)Nc3ccc(OCCN4CCOCC4)c5ccccc35)C(C)(C)C?,4.49,Cc1ccc(cc1)n2nc(cc2NC(=O)Nc3ccc(OCCN4CCOCC4)c5ccccc35)C(C)(C)C
"From the SMILES CS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4ocnc34)n2)c1, predict the Lipo property.",2.9,CS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4ocnc34)n2)c1
What is the logD/lipophilicity of O=C(Nc1ccccn1)c2ccc3[nH]c(nc3c2)c4ccc(NC(=O)C56CC7CC(CC(C7)C5)C6)cc4?,4.24,O=C(Nc1ccccn1)c2ccc3[nH]c(nc3c2)c4ccc(NC(=O)C56CC7CC(CC(C7)C5)C6)cc4
"For the molecule CCc1nc2c(N)nc3ccccc3c2n1CC(C)C, return its lipophilicity score.",2.55,CCc1nc2c(N)nc3ccccc3c2n1CC(C)C
Provide the lipophilicity index for the compound Nc1nc(N)c(c(COCc2ccccc2)n1)c3ccc(NC(=O)C4CC4)cc3.,2.46,Nc1nc(N)c(c(COCc2ccccc2)n1)c3ccc(NC(=O)C4CC4)cc3
"From the SMILES CCC(CCNC)Oc1cc(Cl)ccc1C#N, predict the Lipo property.",0.38,CCC(CCNC)Oc1cc(Cl)ccc1C#N
"For the molecule CNC(=O)c1cccc(c1c2ccc(CC(C)C)cc2)S(=O)(=O)Nc3ncc(C)nc3OC, return its lipophilicity score.",1.68,CNC(=O)c1cccc(c1c2ccc(CC(C)C)cc2)S(=O)(=O)Nc3ncc(C)nc3OC
"For the molecule N#Cc1nc(nc(n1)N2CCOCC2)N3CCOCC3, return its lipophilicity score.",1.51,N#Cc1nc(nc(n1)N2CCOCC2)N3CCOCC3
What is the predicted lipophilicity (Lipo) of OC(=O)[C@H](Cc1ccc(OCCc2ccc3OCCNc3n2)cc1)NC(=O)c4c(Cl)cccc4Cl?,-0.18,OC(=O)[C@H](Cc1ccc(OCCc2ccc3OCCNc3n2)cc1)NC(=O)c4c(Cl)cccc4Cl
What is the logD/lipophilicity of Cc1c(Cl)ccc(OC2CCN(CC3CCN(CC3)[C@@H](Cc4ccc(F)cc4)C(=O)O)CC2)c1Cl?,3.15,Cc1c(Cl)ccc(OC2CCN(CC3CCN(CC3)[C@@H](Cc4ccc(F)cc4)C(=O)O)CC2)c1Cl
Provide the lipophilicity index for the compound O=C(N1CCCCC1)c2csc3CCCCc23.,3.2,O=C(N1CCCCC1)c2csc3CCCCc23
Provide the lipophilicity index for the compound NC(=O)c1sc(cc1N)c2ccsc2.,2.23,NC(=O)c1sc(cc1N)c2ccsc2
Estimate the lipophilicity property of CC(C)N(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C.,3.9,CC(C)N(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C
What is the logD/lipophilicity of CCCSc1nc(N[C@@H]2C[C@H]2c3ccccc3)c4nnn([C@@H]5C[C@H](O)[C@@H](O)[C@H]5O)c4n1?,3.97,CCCSc1nc(N[C@@H]2C[C@H]2c3ccccc3)c4nnn([C@@H]5C[C@H](O)[C@@H](O)[C@H]5O)c4n1
How lipophilic is O=C1Nc2cc(ccc2C1c3ncnc4cc(OCCCN5CCOCC5)ccc34)C#N?,2.99,O=C1Nc2cc(ccc2C1c3ncnc4cc(OCCCN5CCOCC5)ccc34)C#N
Report the predicted Lipo value for Cn1cc(cc1c2c3C(=O)N(CC#C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56)C#N.,3.96,Cn1cc(cc1c2c3C(=O)N(CC#C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56)C#N
What is the logD/lipophilicity of CC[C@H](N)C(=O)N[C@@H](Cc1ccc(cc1)c2ccccc2)C#N?,2.6,CC[C@H](N)C(=O)N[C@@H](Cc1ccc(cc1)c2ccccc2)C#N
"Given the SMILES Cc1cc(Oc2ccc3OCOc3c2)nc(Oc4ccc(cc4)n5ccnc5)n1, compute its lipophilicity.",3.47,Cc1cc(Oc2ccc3OCOc3c2)nc(Oc4ccc(cc4)n5ccnc5)n1
Report the predicted Lipo value for C[C@@H]1CN(CCN1c2ncc(OCc3ccncc3C#N)cn2)c4noc(C)n4.,2.6,C[C@@H]1CN(CCN1c2ncc(OCc3ccncc3C#N)cn2)c4noc(C)n4
Predict the lipophilicity (Lipo) value for the molecule with SMILES: CCN(C1CCN(CCC(c2ccccc2)c3ccc(cc3)C#N)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,2.76,CCN(C1CCN(CCC(c2ccccc2)c3ccc(cc3)C#N)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C
What is the predicted lipophilicity (Lipo) of FC(F)(F)c1csc(n1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4(CC4)C#N?,2.4,FC(F)(F)c1csc(n1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4(CC4)C#N
"Given the SMILES O=C1NN=C(Cc2ccccc2)c3ccccc13, compute its lipophilicity.",2.8,O=C1NN=C(Cc2ccccc2)c3ccccc13
What is the predicted lipophilicity (Lipo) of CN1C(=O)C(=Cc2cnc(NC3CCOCC3)nc12)Oc4ccc(F)cc4F?,2.76,CN1C(=O)C(=Cc2cnc(NC3CCOCC3)nc12)Oc4ccc(F)cc4F
Provide the lipophilicity index for the compound CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](O)C[C@@H](C)c23)c4ccc(Cl)cc4.,1.3,CC(C)NC[C@@H](C(=O)N1CCN(CC1)c2ncnc3[C@H](O)C[C@@H](C)c23)c4ccc(Cl)cc4
Predict the lipophilicity (Lipo) value for the molecule with SMILES: CC(C)(C)NC[C@H](O)COc1nsnc1N2CCOCC2,-0.22,CC(C)(C)NC[C@H](O)COc1nsnc1N2CCOCC2
What is the predicted lipophilicity (Lipo) of CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4cccnc4?,1.2,CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4cccnc4
"Given the SMILES Fc1ccc(CN2CCN(CC2)[C@H](c3ccc(cc3)C(=O)N4CCC4)c5cccc(NC(=O)C6CC6)c5)cc1, compute its lipophilicity.",3.58,Fc1ccc(CN2CCN(CC2)[C@H](c3ccc(cc3)C(=O)N4CCC4)c5cccc(NC(=O)C6CC6)c5)cc1
"From the SMILES CC(=O)Nc1nc(ns1)c2ccccc2, predict the Lipo property.",2.8,CC(=O)Nc1nc(ns1)c2ccccc2
Provide the lipophilicity index for the compound C[S+]([O-])CCN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3.,3.17,C[S+]([O-])CCN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3
How lipophilic is CC(=O)N1CCOc2cc(COc3ccccc3)cnc12?,2.8,CC(=O)N1CCOc2cc(COc3ccccc3)cnc12
"For the molecule O=S(=O)(Nc1cccc2[nH]ncc12)c3cccs3, return its lipophilicity score.",1.7,O=S(=O)(Nc1cccc2[nH]ncc12)c3cccs3
How lipophilic is CNCCC(Oc1ccccc1OC)c2ccccc2?,0.22,CNCCC(Oc1ccccc1OC)c2ccccc2
"Given the SMILES Oc1ccc2[nH]c(CN3CCC(Cc4ccc(F)cc4)CC3)nc2c1, compute its lipophilicity.",3.8,Oc1ccc2[nH]c(CN3CCC(Cc4ccc(F)cc4)CC3)nc2c1
"From the SMILES CCCSc1nc(ccc1C(=O)NC2CCCCC2)N3CCC(CC3)C(=O)O, predict the Lipo property.",1.6,CCCSc1nc(ccc1C(=O)NC2CCCCC2)N3CCC(CC3)C(=O)O
Report the predicted Lipo value for CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NS(=O)(=O)N)C(=O)C(F)(F)F.,1.17,CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NS(=O)(=O)N)C(=O)C(F)(F)F
How lipophilic is OC(=O)CC[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3?,2.84,OC(=O)CC[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4sc(Cl)c(Cl)c4[nH]3
What is the logD/lipophilicity of COCCC(=O)Nc1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1?,2.78,COCCC(=O)Nc1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1
How lipophilic is Nc1nc(N)nc(n1)c2ccc(Cl)cc2?,2.12,Nc1nc(N)nc(n1)c2ccc(Cl)cc2
Provide the lipophilicity index for the compound CCCCN(CCNCCc1ccc(O)c2NC(=O)Sc12)C(=O)CCOCCc3ccccc3.,3.0,CCCCN(CCNCCc1ccc(O)c2NC(=O)Sc12)C(=O)CCOCCc3ccccc3
Provide the lipophilicity index for the compound Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)cc4C.,1.79,Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)cc4C
Estimate the lipophilicity property of COCCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3NC(=O)Sc23)cc1.,-0.54,COCCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3NC(=O)Sc23)cc1
"Given the SMILES NC(=O)Nc1sc(cc1C(=O)N)c2ccc(OCCN3CCCCC3)cc2, compute its lipophilicity.",1.2,NC(=O)Nc1sc(cc1C(=O)N)c2ccc(OCCN3CCCCC3)cc2
"For the molecule Cc1ccc(NC(=O)[C@H]2CCCN2S(=O)(=O)c3cccc4cccnc34)c(C)c1, return its lipophilicity score.",3.9,Cc1ccc(NC(=O)[C@H]2CCCN2S(=O)(=O)c3cccc4cccnc34)c(C)c1
How lipophilic is CC1=CC(=O)Oc2c3CCCNc3c(C)cc12?,2.9,CC1=CC(=O)Oc2c3CCCNc3c(C)cc12
"For the molecule CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C, return its lipophilicity score.",-0.54,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C
"From the SMILES COc1cnc(nc1N(C)c2ccccc2)c3ccccn3, predict the Lipo property.",2.79,COc1cnc(nc1N(C)c2ccccc2)c3ccccn3
Provide the lipophilicity index for the compound Cn1cc(nc1c2c3C(=O)N(CC#C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56)C#N.,3.4,Cn1cc(nc1c2c3C(=O)N(CC#C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56)C#N
How lipophilic is Fc1ccc(Oc2cc(F)c(cc2F)S(=O)(=O)Nc3ncc(Cl)s3)c(c1)c4cn[nH]c4?,2.7,Fc1ccc(Oc2cc(F)c(cc2F)S(=O)(=O)Nc3ncc(Cl)s3)c(c1)c4cn[nH]c4
How lipophilic is O=C(NC1(CC1)C#N)[C@@H]2CCCC[C@H]2C(=O)N3CCN(CC3)c4nc5ncccc5s4?,1.4,O=C(NC1(CC1)C#N)[C@@H]2CCCC[C@H]2C(=O)N3CCN(CC3)c4nc5ncccc5s4
What is the predicted lipophilicity (Lipo) of Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4ncc(CN5CCOCC5)s4?,3.1,Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4ncc(CN5CCOCC5)s4
What is the predicted lipophilicity (Lipo) of COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)ncnc2cc1OCCCN5CCC(CO)CC5?,2.89,COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)ncnc2cc1OCCCN5CCC(CO)CC5
"For the molecule Clc1cccc(CN2C=CN3C(=O)C=C(N=C23)N4CCOCC4)c1Cl, return its lipophilicity score.",3.3,Clc1cccc(CN2C=CN3C(=O)C=C(N=C23)N4CCOCC4)c1Cl
"For the molecule CC#Cc1ccnc(c1)c2cc(ccc2O)C3(N=C(C)C(=N3)N)C4CC4, return its lipophilicity score.",3.6,CC#Cc1ccnc(c1)c2cc(ccc2O)C3(N=C(C)C(=N3)N)C4CC4
Estimate the lipophilicity property of CS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4ncoc34)n2)c1.,2.5,CS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4ncoc34)n2)c1
Report the predicted Lipo value for Clc1cccc(\C=C\2/SC(=O)NC2=O)c1N3CCNCC3.,0.68,Clc1cccc(\C=C\2/SC(=O)NC2=O)c1N3CCNCC3
"Given the SMILES OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23, compute its lipophilicity.",3.5,OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23
How lipophilic is CNS(=O)(=O)NC1=CC=C(N(CC(=O)NC(C(C)C)C(=O)C(F)(F)F)C1=O)c2ccccc2?,1.79,CNS(=O)(=O)NC1=CC=C(N(CC(=O)NC(C(C)C)C(=O)C(F)(F)F)C1=O)c2ccccc2
Report the predicted Lipo value for COc1cc(F)ccc1c2cncc(CNC(=O)c3ccccn3)c2.,3.2,COc1cc(F)ccc1c2cncc(CNC(=O)c3ccccn3)c2
"From the SMILES COCCN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C, predict the Lipo property.",2.8,COCCN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C
"For the molecule CC(C)(C)OC(=O)N1CCN(CC1)c2ncc(OCc3ccc(cc3)S(=O)(=O)C)nn2, return its lipophilicity score.",2.93,CC(C)(C)OC(=O)N1CCN(CC1)c2ncc(OCc3ccc(cc3)S(=O)(=O)C)nn2
"Given the SMILES COC1=CC(=N/C/1=C\c2[nH]c(C)cc2C)c3cc4ccccc4[nH]3, compute its lipophilicity.",2.55,COC1=CC(=N/C/1=C\c2[nH]c(C)cc2C)c3cc4ccccc4[nH]3
Estimate the lipophilicity property of CC(C#Cc1ccccc1)N2NC(=O)C3=C(C2=O)C(=O)c4ccc(Cl)cc4N3.,1.4,CC(C#Cc1ccccc1)N2NC(=O)C3=C(C2=O)C(=O)c4ccc(Cl)cc4N3
