prompt,gt,task
"I have the IUPAC name N-tert-butyl-N-[4-(2,5-dimethylhex-3-en-3-yl)phenyl]hydroxylamine. What's the equivalent SMILES string?",CC(C)C=C(C1=CC=C(C=C1)N(C(C)(C)C)O)C(C)C,iupac2smiles
"What is the SMILES string for the compound named 2,3-dimethoxy-N-[1-(oxolan-3-yl)ethyl]propan-1-amine?",CC(C1CCOC1)NCC(COC)OC,iupac2smiles
"I have the IUPAC name 2-(4-fluorophenyl)benzo[f][1,3]benzothiazole. What's the equivalent SMILES string?",C1=CC=C2C=C3C(=CC2=C1)N=C(S3)C4=CC=C(C=C4)F,iupac2smiles
Please output the IUPAC chemical name that matches this SMILES: CC1=C(C(=NC2=NC(=NN12)SC)C)CC(=O)NC3=CC=C(C=C3)NCCC4=CC=CC=C4,"2-(5,7-dimethyl-2-methylsulfanyl-[1,2,4]triazolo[1,5-a]pyrimidin-6-yl)-N-[4-(2-phenylethylamino)phenyl]acetamide",smiles2iupac
"Please output the SMILES structure that matches this IUPAC name: 3-amino-6-[3-(2,3-dihydro-1H-inden-1-ylcarbamoyl)phenyl]-N-pyrrolidin-3-ylpyrazine-2-carboxamide",C1CC2=CC=CC=C2C1NC(=O)C3=CC=CC(=C3)C4=CN=C(C(=N4)C(=O)NC5CCNC5)N,iupac2smiles
"Translate this chemical IUPAC name into SMILES format: 1-[3-[2-ethyl-3-(7-pyridin-3-yl-3a,7a-dihydro-3H-imidazo[4,5-c]pyridin-2-yl)-3a,4-dihydro-1H-indol-5-yl]cyclohept-3-en-1-yl]-N,N-dimethylmethanamine",CCC1=C(C2CC(=CC=C2N1)C3=CCCCC(C3)CN(C)C)C4=NC5C(N4)C=NC=C5C6=CN=CC=C6,iupac2smiles
Please output the IUPAC chemical name that matches this SMILES: CCN(CC(=O)OCC)S(=O)(=O)CCOCC,ethyl 2-[2-ethoxyethylsulfonyl(ethyl)amino]acetate,smiles2iupac
"Given the IUPAC name (2R)-3,3,3-trifluoro-2-phenylpropanenitrile, return its SMILES notation.",C1=CC=C(C=C1)C(C#N)C(F)(F)F,iupac2smiles
Find the systematic IUPAC name of the molecule represented by C1=CC(=CC(=C1)C(=O)NC2=CC(=C(C=C2)O)Cl)C#N.,N-(3-chloro-4-hydroxyphenyl)-3-cyanobenzamide,smiles2iupac
Can you provide the SMILES representation of methyl 2-[2-amino-6-[2-[cyclohexyl(1-hydroxyethyl)amino]-2-oxoethoxy]-4H-quinazolin-3-yl]acetate?,CC(N(C1CCCCC1)C(=O)COC2=CC3=C(C=C2)N=C(N(C3)CC(=O)OC)N)O,iupac2smiles
Translate this SMILES notation into an IUPAC chemical name: CC1=C(C=NN1C2=NC3=C(C(=O)N2)SC=C3)C(=O)N4CCC5CCCCC5C4,"2-[4-[(4aR,8aS)-3,4,4a,5,6,7,8,8a-octahydro-1H-isoquinoline-2-carbonyl]-5-methylpyrazol-1-yl]-3H-thieno[3,2-d]pyrimidin-4-one",smiles2iupac
Can you provide the SMILES representation of N-(1-imidazol-1-ylpropan-2-yl)-5-oxopyrrolidine-3-carboxamide?,CC(CN1C=CN=C1)NC(=O)C2CC(=O)NC2,iupac2smiles
"Please output the SMILES structure that matches this IUPAC name: N-[3-[5-[[5-[(3-chlorophenyl)-methylsulfamoyl]-2-oxo-1H-indol-3-ylidene]methyl]-4-methyl-3-(4-methylpiperazine-1-carbonyl)-1H-pyrrol-2-yl]propyl]-N,3,5-trimethylpyrazole-1-carboxamide",CC1=CC(=NN1C(=O)N(C)CCCC2=C(C(=C(N2)C=C3C4=C(C=CC(=C4)S(=O)(=O)N(C)C5=CC(=CC=C5)Cl)NC3=O)C)C(=O)N6CCN(CC6)C)C,iupac2smiles
