rep,carbon_count_q,carbon_count_a,ring_count_q,ring_count_a,functional_group_q,functional_group_a,bond_type_q,bond_type_a
smiles,Determine the total carbon count for C#CC12CC(O1)C2C.,7,"Given the SMILES C#CC12CC(O1)C2C, return its ring count.",2,"For the molecule C#CC12CC(O1)C2C, is a ketone functional group present?",0,Check if the structure C#CC12CC(O1)C2C has a triple bond.,1
smiles,Count the number of carbon atoms in CC1NC1C1NC1C.,6,Find the number of rings contained in CC1NC1C1NC1C.,2,Does the SMILES CC1NC1C1NC1C encode a amine functional group?,1,Is a double bond found in the SMILES CC1NC1C1NC1C?,0
iupac,"How many carbon atoms make up the structure 1-(2H-triazol-4-yl)ethane-1,2-diol?",4,"Count the number of rings in 1-(2H-triazol-4-yl)ethane-1,2-diol.",1,"Determine whether 1-(2H-triazol-4-yl)ethane-1,2-diol includes a alcohol functional group.",1,"Determine whether 1-(2H-triazol-4-yl)ethane-1,2-diol includes at least one aromatic bond.",1
iupac,"How many carbon atoms make up the structure 5-methylsulfanyl-3-(2-piperidin-4-ylethyl)-1,3,4-thiadiazole-2-thione?",10,"What is the total number of rings in 5-methylsulfanyl-3-(2-piperidin-4-ylethyl)-1,3,4-thiadiazole-2-thione?",2,"For the molecule 5-methylsulfanyl-3-(2-piperidin-4-ylethyl)-1,3,4-thiadiazole-2-thione, is a halide functional group present?",0,"For the molecule 5-methylsulfanyl-3-(2-piperidin-4-ylethyl)-1,3,4-thiadiazole-2-thione, does a triple bond exist?",0
iupac,"Identify the carbon atom count in the molecule N-[(5-chloro-8-hydroxyquinolin-7-yl)-(2-methoxyphenyl)methyl]-3,4,5-trimethoxybenzamide.",27,"Compute the ring count of N-[(5-chloro-8-hydroxyquinolin-7-yl)-(2-methoxyphenyl)methyl]-3,4,5-trimethoxybenzamide.",4,"Is the ketone functional group found in N-[(5-chloro-8-hydroxyquinolin-7-yl)-(2-methoxyphenyl)methyl]-3,4,5-trimethoxybenzamide?",1,"Assess whether N-[(5-chloro-8-hydroxyquinolin-7-yl)-(2-methoxyphenyl)methyl]-3,4,5-trimethoxybenzamide contains a double bond type.",1
iupac,Determine the total carbon count for 2-methyl-N-[3-(oxolan-2-yl)propyl]pentan-3-amine.,13,Determine the ring count for 2-methyl-N-[3-(oxolan-2-yl)propyl]pentan-3-amine.,1,Is the amide functional group found in 2-methyl-N-[3-(oxolan-2-yl)propyl]pentan-3-amine?,0,"For the molecule 2-methyl-N-[3-(oxolan-2-yl)propyl]pentan-3-amine, does a double bond exist?",0
iupac,"How many carbon atoms make up the structure (1R,2S,5S,6R,7R)-2-N-cyclohexyl-3-(3-methoxypropyl)-6-N-(4-methylphenyl)-4-oxo-10-oxa-3-azatricyclo[5.2.1.01,5]dec-8-ene-2,6-dicarboxamide?",27,"Count the number of rings in (1R,2S,5S,6R,7R)-2-N-cyclohexyl-3-(3-methoxypropyl)-6-N-(4-methylphenyl)-4-oxo-10-oxa-3-azatricyclo[5.2.1.01,5]dec-8-ene-2,6-dicarboxamide.",5,"Check if the structure (1R,2S,5S,6R,7R)-2-N-cyclohexyl-3-(3-methoxypropyl)-6-N-(4-methylphenyl)-4-oxo-10-oxa-3-azatricyclo[5.2.1.01,5]dec-8-ene-2,6-dicarboxamide contains a amine.",1,"Does the chemical structure (1R,2S,5S,6R,7R)-2-N-cyclohexyl-3-(3-methoxypropyl)-6-N-(4-methylphenyl)-4-oxo-10-oxa-3-azatricyclo[5.2.1.01,5]dec-8-ene-2,6-dicarboxamide include double bonding?",1
smiles,Determine the total carbon count for COC(=O)C(Cc1ccccc1)NC(=O)CCNNC(=O)C(CCCCN)NC(=O)Cc1cc(OC)ccc1OC.,29,Compute the ring count of COC(=O)C(Cc1ccccc1)NC(=O)CCNNC(=O)C(CCCCN)NC(=O)Cc1cc(OC)ccc1OC.,2,Is a phenol group present in COC(=O)C(Cc1ccccc1)NC(=O)CCNNC(=O)C(CCCCN)NC(=O)Cc1cc(OC)ccc1OC?,0,Check if the structure COC(=O)C(Cc1ccccc1)NC(=O)CCNNC(=O)C(CCCCN)NC(=O)Cc1cc(OC)ccc1OC has a triple bond.,0
iupac,"Determine the total carbon count for 3-(4,6-dimethyl-2-oxo-1H-pyrimidin-5-yl)-N-(6-fluoro-3,4-dihydro-2H-chromen-4-yl)propanamide.",18,"Count the number of rings in 3-(4,6-dimethyl-2-oxo-1H-pyrimidin-5-yl)-N-(6-fluoro-3,4-dihydro-2H-chromen-4-yl)propanamide.",3,"Is the amide functional group found in 3-(4,6-dimethyl-2-oxo-1H-pyrimidin-5-yl)-N-(6-fluoro-3,4-dihydro-2H-chromen-4-yl)propanamide?",1,"Identify whether 3-(4,6-dimethyl-2-oxo-1H-pyrimidin-5-yl)-N-(6-fluoro-3,4-dihydro-2H-chromen-4-yl)propanamide has any aromatic bonds.",1
iupac,"Count the number of carbon atoms in 2-[4-[3-[[(1S)-1-(carboxymethyl)-2,3-dihydro-1H-inden-5-yl]oxy]propoxy]phenyl]-4-methyl-1,3-thiazole-5-carboxylic acid.",25,"How many cyclic structures are in 2-[4-[3-[[(1S)-1-(carboxymethyl)-2,3-dihydro-1H-inden-5-yl]oxy]propoxy]phenyl]-4-methyl-1,3-thiazole-5-carboxylic acid?",4,"Does the molecule 2-[4-[3-[[(1S)-1-(carboxymethyl)-2,3-dihydro-1H-inden-5-yl]oxy]propoxy]phenyl]-4-methyl-1,3-thiazole-5-carboxylic acid contain a aldehyde functional group?",0,"Does 2-[4-[3-[[(1S)-1-(carboxymethyl)-2,3-dihydro-1H-inden-5-yl]oxy]propoxy]phenyl]-4-methyl-1,3-thiazole-5-carboxylic acid feature any triple bonds?",0
smiles,"Given CC12CC3(O)C1COC23, return the number of carbon atoms.",7,Report the number of rings in the molecule CC12CC3(O)C1COC23.,3,Is a alcohol group present in CC12CC3(O)C1COC23?,1,Does the molecule CC12CC3(O)C1COC23 contain any triple bonds?,0
iupac,Compute the total number of carbons in 6-fluoro-2-methylpyridin-3-ol.,6,"Given the SMILES 6-fluoro-2-methylpyridin-3-ol, return its ring count.",1,Does the SMILES 6-fluoro-2-methylpyridin-3-ol encode a amine functional group?,0,Identify whether 6-fluoro-2-methylpyridin-3-ol has any aromatic bonds.,1
smiles,"For the SMILES CCC1OC12CCCC2, how many carbon atoms does it contain?",8,Report the number of rings in the molecule CCC1OC12CCCC2.,2,Determine whether CCC1OC12CCCC2 includes a phenol functional group.,0,Does the molecule CCC1OC12CCCC2 contain any aromatic bonds?,0
iupac,Report the number of carbon atoms in [(3R)-3-hydroxypiperidin-1-yl]-[2-(6-pyrimidin-5-ylindolizin-3-yl)pyrazol-3-yl]methanone.,21,Report the number of rings in the molecule [(3R)-3-hydroxypiperidin-1-yl]-[2-(6-pyrimidin-5-ylindolizin-3-yl)pyrazol-3-yl]methanone.,5,Assess whether [(3R)-3-hydroxypiperidin-1-yl]-[2-(6-pyrimidin-5-ylindolizin-3-yl)pyrazol-3-yl]methanone exhibits a alcohol group.,1,Determine whether [(3R)-3-hydroxypiperidin-1-yl]-[2-(6-pyrimidin-5-ylindolizin-3-yl)pyrazol-3-yl]methanone includes at least one aromatic bond.,1
iupac,"Count the number of carbon atoms in 4,9-dimethoxyfuro[3,2-g]chromen-7-one.",13,"Report the number of rings in the molecule 4,9-dimethoxyfuro[3,2-g]chromen-7-one.",3,"Is a alcohol group present in 4,9-dimethoxyfuro[3,2-g]chromen-7-one?",0,"Check if the structure 4,9-dimethoxyfuro[3,2-g]chromen-7-one has a aromatic bond.",1
smiles,Identify the carbon atom count in the molecule CN(C=O)C1=CCOC1.,6,Compute the ring count of CN(C=O)C1=CCOC1.,1,Determine whether CN(C=O)C1=CCOC1 includes a amine functional group.,1,Check if the structure CN(C=O)C1=CCOC1 has a aromatic bond.,0
