prompt,gt,smiles
Can you assess if C1=CC=CC4=C1C(N(CCCN3CCN(C2=NC=CC=N2)CC3)[S]4(=O)=O)=O penetrates the blood-brain barrier?,1,C1=CC=CC4=C1C(N(CCCN3CCN(C2=NC=CC=N2)CC3)[S]4(=O)=O)=O
Does the compound C1=CC(=CC=C1[S](CC)(=O)=O)F cross the blood-brain barrier?,1,C1=CC(=CC=C1[S](CC)(=O)=O)F
Does the compound OC(C)(C)c1onc(c2ncn3c2CN(C)C(c4c3cccc4Cl)=O)n1 cross the blood-brain barrier?,0,OC(C)(C)c1onc(c2ncn3c2CN(C)C(c4c3cccc4Cl)=O)n1
"Given the SMILES C1=C(C(C(C)(C)O)(C)O)C=CC(=C1)Cl, determine if it penetrates the BBB.",1,C1=C(C(C(C)(C)O)(C)O)C=CC(=C1)Cl
Will the molecule CN1Cc2n(cnc2C(=O)OC(C)(C)C)c3ccsc3C1=O be brain-penetrant?,1,CN1Cc2n(cnc2C(=O)OC(C)(C)C)c3ccsc3C1=O
Classify the molecule [C@H]2(C(OC1=CC=C(NC(C)=O)C=C1)=O)NC(=O)CC2 with respect to blood-brain barrier permeability.,1,[C@H]2(C(OC1=CC=C(NC(C)=O)C=C1)=O)NC(=O)CC2
"Given the SMILES CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@@H]3[C@H](O)Cc4ccccc34)Cc5cccnc5, determine if it penetrates the BBB.",1,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@@H]3[C@H](O)Cc4ccccc34)Cc5cccnc5
Predict the blood-brain barrier penetration (BBBP) property for the molecule with SMILES: C1=CC=CC(=C1C(OC2=CC=C(NC(C)=O)C=C2)=O)OC(C)=O,1,C1=CC=CC(=C1C(OC2=CC=C(NC(C)=O)C=C2)=O)OC(C)=O
Will the molecule COC(=O)[C@H]1[C@H](CC2CCC1N2C)OC(=O)c3ccccc3 be brain-penetrant?,1,COC(=O)[C@H]1[C@H](CC2CCC1N2C)OC(=O)c3ccccc3
Can you assess if C1=CC=CC=C1C(C2=CC=CC=C2)(CCN4CCC(N3CCCCC3)(C(N)=O)CC4)C#N penetrates the blood-brain barrier?,1,C1=CC=CC=C1C(C2=CC=CC=C2)(CCN4CCC(N3CCCCC3)(C(N)=O)CC4)C#N
Does the compound C1=C(CC\C(CN)=C/F)C=CC(=C1)F cross the blood-brain barrier?,1,C1=C(CC\C(CN)=C/F)C=CC(=C1)F
Does the compound CCCCNC(=O)OCC(C)(CCC)COC(N)=O cross the blood-brain barrier?,1,CCCCNC(=O)OCC(C)(CCC)COC(N)=O
