prompt,gt,smiles
Can you assess whether c1c(cc(c(c1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N corresponds to a clinically toxic compound?,0,c1c(cc(c(c1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N
"Given the SMILES c1cc(ccc1COC(Cn2ccnc2)c3ccc(cc3Cl)Cl)Cl, determine whether the compound exhibits clinical trial toxicity.",0,c1cc(ccc1COC(Cn2ccnc2)c3ccc(cc3Cl)Cl)Cl
"From the SMILES C[NH+](CC#C)Cc1ccccc1, predict the binary clinical trial toxicity label.",0,C[NH+](CC#C)Cc1ccccc1
Does the structure COc1ccc(c(c1)C(CNC(=O)C[NH3+])O)OC indicate failure in clinical trials due to toxicity?,0,COc1ccc(c(c1)C(CNC(=O)C[NH3+])O)OC
Does the structure C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO indicate failure in clinical trials due to toxicity?,1,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO
"Given the SMILES C[NH+]1CCC[C@@H]1Cc2c[nH]c3c2cc(cc3)CCS(=O)(=O)c4ccccc4, determine whether the compound exhibits clinical trial toxicity.",0,C[NH+]1CCC[C@@H]1Cc2c[nH]c3c2cc(cc3)CCS(=O)(=O)c4ccccc4
Evaluate the clinical trial toxicity of the molecule encoded as COc1ccc2c(c1)c(ccn2)[C@H]([C@@H]3C[C@@H]4CC[NH+]3C[C@@H]4C=C)O.,0,COc1ccc2c(c1)c(ccn2)[C@H]([C@@H]3C[C@@H]4CC[NH+]3C[C@@H]4C=C)O
Evaluate the clinical trial toxicity of the molecule encoded as c1cc(c(cc1CC[NH3+])O)O.,0,c1cc(c(cc1CC[NH3+])O)O
Did the compound represented by CCOc1ccc2c(c1)sc(n2)S(=O)(=O)N fail clinical trials due to toxicity?,0,CCOc1ccc2c(c1)sc(n2)S(=O)(=O)N
Did the compound represented by C[C@@H]1CC(=O)[C@]2([C@@H](O1)O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H]([C@H]3O2)[NH2+]C)O)[NH2+]C)O)O fail clinical trials due to toxicity?,0,C[C@@H]1CC(=O)[C@]2([C@@H](O1)O[C@@H]3[C@H]([C@@H]([C@@H]([C@@H]([C@H]3O2)[NH2+]C)O)[NH2+]C)O)O
"Given the SMILES CC(C)/[NH+]=C(\N)/[NH+]=C(\N)/Nc1ccc(cc1)Cl, determine whether the compound exhibits clinical trial toxicity.",0,CC(C)/[NH+]=C(\N)/[NH+]=C(\N)/Nc1ccc(cc1)Cl
Evaluate the clinical trial toxicity of the molecule encoded as C[N+]1(C2CCC1CC(C2)OC(=O)C(c3ccccc3)O)C.,0,C[N+]1(C2CCC1CC(C2)OC(=O)C(c3ccccc3)O)C
Predict the clinical trial toxicity outcome for the molecule with SMILES: COCCO.,0,COCCO
What is the clinical trial toxicity classification for the compound CCOC(=O)[C@H](CCc1ccccc1)[NH2+][C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(=O)[O-]?,0,CCOC(=O)[C@H](CCc1ccccc1)[NH2+][C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(=O)[O-]
Can you assess whether c1ccc(cc1)COC(=O)c2ccccc2 corresponds to a clinically toxic compound?,0,c1ccc(cc1)COC(=O)c2ccccc2
Evaluate the clinical trial toxicity of the molecule encoded as C(=O)([O-])P(=O)([O-])[O-].,0,C(=O)([O-])P(=O)([O-])[O-]
"Given the SMILES CC(C)[N+]1([C@@H]2CC[C@@H]1CC(C2)OC(=O)C(CO)c3ccccc3)C, determine whether the compound exhibits clinical trial toxicity.",0,CC(C)[N+]1([C@@H]2CC[C@@H]1CC(C2)OC(=O)C(CO)c3ccccc3)C
Predict the clinical trial toxicity outcome for the molecule with SMILES: CC(C)CC(C1(CCC1)c2ccc(cc2)Cl)[NH+](C)C.,0,CC(C)CC(C1(CCC1)c2ccc(cc2)Cl)[NH+](C)C
Classify the molecule CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccsc3)C(=O)[O-])C(=O)[O-])C with respect to clinical trial toxicity.,0,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccsc3)C(=O)[O-])C(=O)[O-])C
Did the compound represented by c1cc(c(cc1Cl)Cl)COC(Cn2ccnc2)c3ccc(cc3Cl)Cl fail clinical trials due to toxicity?,0,c1cc(c(cc1Cl)Cl)COC(Cn2ccnc2)c3ccc(cc3Cl)Cl
"From the SMILES c1cc(ccc1[C@@H]2[C@H](C(=O)N2c3ccc(cc3)F)CC[C@@H](c4ccc(cc4)F)O)O, predict the binary clinical trial toxicity label.",0,c1cc(ccc1[C@@H]2[C@H](C(=O)N2c3ccc(cc3)F)CC[C@@H](c4ccc(cc4)F)O)O
What is the clinical trial toxicity classification for the compound C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O?,0,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O
Classify the molecule CC(=O)c1ccc2c(c1)N(c3ccccc3S2)CCC[NH+]4CCC(CC4)CCO with respect to clinical trial toxicity.,0,CC(=O)c1ccc2c(c1)N(c3ccccc3S2)CCC[NH+]4CCC(CC4)CCO
Classify the molecule CCCCC(=O)N(Cc1ccc(cc1)c2ccccc2c3[n-]nnn3)[C@@H](C(C)C)C(=O)[O-] with respect to clinical trial toxicity.,0,CCCCC(=O)N(Cc1ccc(cc1)c2ccccc2c3[n-]nnn3)[C@@H](C(C)C)C(=O)[O-]
Does the structure CC(C)(C)[NH2+]CC(c1ccc(c(c1)CO)O)O indicate failure in clinical trials due to toxicity?,0,CC(C)(C)[NH2+]CC(c1ccc(c(c1)CO)O)O
Does the structure c1(c(nc(c(n1)Cl)N)N)C(=O)NC(=[NH2+])N indicate failure in clinical trials due to toxicity?,0,c1(c(nc(c(n1)Cl)N)N)C(=O)NC(=[NH2+])N
Does the structure CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl indicate failure in clinical trials due to toxicity?,1,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl
"For the molecule c1cc(ccc1C[C@@H](C(=O)[O-])[NH3+])N(CCCl)CCCl, return whether it failed clinical trials because of toxicity.",0,c1cc(ccc1C[C@@H](C(=O)[O-])[NH3+])N(CCCl)CCCl
